time,gyrx,gyry,gyrz
5,     0,     0,     0
12,    -1,     0,     1
18,    -1,    -1,     0
23,    -1,     0,     0
29,    -1,     0,     0
37,    -1,     0,     0
48,    -2,     1,     0
57,    -2,     0,     0
68,    -2,     0,    -1
78,    -2,     0,    -1
87,    -2,    -1,    -1
98,    -2,    -1,    -2
107,    -2,     0,    -1
118,    -2,     0,    -1
127,    -2,     1,    -1
138,    -2,     1,    -1
148,    -2,     1,    -1
157,    -2,     1,    -1
168,    -2,     1,    -1
177,    -1,     1,    -1
188,    -2,     0,    -1
198,    -2,     1,     0
207,    -1,     1,     0
217,    -1,     1,     0
228,    -1,     1,     0
237,    -1,     1,     0
248,    -1,     0,     0
257,     0,     0,     0
268,     0,     0,     0
277,     0,     0,     0
287,     0,    -1,    -1
298,    -1,    -1,    -1
307,     0,    -1,     0
318,     1,    -1,     0
327,     1,    -1,     0
338,     2,    -1,     0
347,     2,    -1,     0
357,     1,    -1,     0
368,     1,    -2,     0
377,     0,    -2,     0
388,     1,    -2,     0
397,     1,    -1,     0
408,     1,    -1,     0
417,     1,    -1,     0
428,     1,    -1,     0
437,     0,    -1,     0
447,    -1,     0,     0
458,    -2,     1,    -1
467,    -2,     2,    -1
478,    -3,     2,    -1
487,    -4,     2,    -1
498,    -4,     1,    -1
507,    -4,     0,    -1
517,    -3,     0,    -1
528,    -2,    -1,    -1
537,    -2,    -1,    -1
548,     0,    -1,    -1
557,     2,    -1,    -1
568,     2,    -1,    -1
577,     2,    -1,    -1
587,     1,    -1,    -1
598,     0,    -1,     0
607,     0,    -1,     0
618,     0,    -1,     0
627,     0,     0,     0
638,     0,     0,     0
647,     0,     0,     0
656,     0,     0,     0
667,    -1,    -1,    -1
677,    -1,    -1,    -1
688,    -2,    -1,    -1
697,    -2,    -1,    -1
708,    -1,     0,     0
717,     0,     0,     0
726,     1,     0,     0
737,     1,     0,     0
747,     0,     0,     0
758,     0,     0,     0
767,     0,     0,     0
778,     0,     0,     0
787,     0,     0,     0
797,     0,    -1,     0
807,     0,    -1,     0
817,    -1,    -1,    -1
826,    -2,    -1,     0
837,    -2,     0,     0
846,    -1,     0,     0
857,     0,     0,     0
867,     0,     1,     0
878,     1,     1,     0
887,     1,     0,     0
897,     0,    -1,     0
906,    -1,    -1,    -1
917,    -2,    -2,    -1
926,    -2,    -2,    -1
938,    -2,    -1,    -1
947,    -1,    -1,     0
956,     0,     0,     0
967,     1,     0,     0
976,     1,     0,     0
987,     0,     0,     0
997,    -1,    -1,    -1
1006,    -1,    -1,    -1
1017,    -2,    -1,    -1
1026,    -2,    -1,    -1
1037,    -1,     0,    -1
1047,     0,     0,     0
1058,     0,    -1,     0
1067,     0,    -1,     0
1076,     0,    -1,    -1
1087,    -1,    -1,    -1
1097,    -1,    -1,    -1
1106,    -1,    -1,    -1
1117,     0,    -1,    -1
1126,     0,    -1,    -1
1137,     0,    -1,    -1
1146,     0,    -1,    -1
1157,     0,    -1,    -1
1167,    -1,    -1,    -1
1176,     0,     0,     0
1187,     0,     0,    -1
1196,     0,     0,    -1
1207,     0,    -1,    -1
1216,    -1,    -1,    -1
1227,    -2,    -1,    -1
1237,    -1,    -1,    -1
1246,    -1,    -1,     0
1257,     0,    -1,     0
1266,     1,     0,     0
1277,     1,     0,    -1
1286,     0,     0,    -1
1297,    -1,    -1,    -1
1306,    -2,    -1,    -1
1316,    -3,    -2,    -1
1327,    -2,    -3,    -2
1336,     1,    -3,    -4
1347,     4,    -3,    -6
1356,     7,    -2,    -7
1367,     6,    -1,   -11
1376,     1,     0,   -11
1386,    -6,     3,   -11
1397,   -15,     6,    -9
1406,   -21,     9,    -6
1417,   -26,    11,    -1
1426,   -29,    18,     3
1437,   -32,    22,     5
1446,   -25,    17,     1
1455,   -16,    -4,   -11
1466,   -15,   -22,   -19
1476,   -12,   -17,   -23
1487,    -7,     0,   -25
1497,    -1,     7,   -23
1506,     8,     4,   -16
1516,    20,    -1,    -8
1527,    31,    -6,    -2
1536,    37,    -9,     4
1547,    38,    -9,     9
1556,    32,    -6,    11
1565,    22,    -2,     9
1576,     7,     2,     9
1586,    -7,     4,    12
1597,   -20,     4,    14
1606,   -34,     0,    22
1616,   -34,    -8,    28
1627,   -24,   -22,    30
1636,   -13,   -36,    27
1645,    -7,   -42,    25
1656,    -3,   -40,    22
1666,    -2,   -33,    16
1676,    -1,   -24,    12
1686,    -2,   -18,    10
1697,    -3,   -13,    10
1706,    -6,    -7,    12
1715,   -11,    -4,    17
1726,   -16,    -3,    22
1735,   -19,    -4,    27
1746,   -18,    -7,    32
1756,   -12,   -11,    34
1767,    -6,   -15,    31
1776,    -5,   -15,    23
1785,    -8,   -14,    14
1796,    -8,   -13,     7
1805,    -4,    -8,     6
1817,     5,     2,     9
1826,    14,    11,    16
1835,    21,    14,    22
1846,    27,    13,    28
1855,    30,     7,    30
1866,    29,     3,    28
1876,    23,     1,    25
1887,    13,    -3,    20
1896,     0,    -8,    15
1905,   -10,   -13,    12
1916,   -17,   -17,    11
1925,   -20,   -21,    10
1936,   -19,   -24,    10
1946,   -18,   -24,    10
1955,   -15,   -19,    11
1966,   -11,   -11,    13
1975,    -6,    -2,    14
1986,    -2,     6,    13
1995,     1,     8,    12
2007,     3,     7,     8
2016,     2,     2,     5
2025,     1,    -4,     1
2036,     0,   -10,    -1
2046,    -1,   -14,    -2
2055,    -1,   -14,    -1
2066,    -1,   -11,     0
2075,    -2,    -9,     1
2086,    -1,    -8,     1
2095,     0,    -7,     0
2106,     0,    -5,    -2
2116,    -1,    -3,    -2
2125,     0,    -2,    -2
2136,     1,    -1,    -2
2146,     4,    -1,     0
2155,     6,     0,     1
2166,     7,     0,     0
2175,     8,     0,     0
2186,     8,     0,    -1
2196,     9,     0,     0
2205,    10,     1,     0
2216,    10,     2,     0
2226,    10,     2,     0
2235,    10,     2,     1
2246,     9,    -1,     1
2255,     7,    -5,     0
2266,     5,    -9,     0
2275,     3,   -11,    -1
2286,     0,   -10,     0
2296,     0,    -6,     0
2305,     1,    -2,    -1
2316,     1,     1,    -1
2325,     1,     3,    -1
2335,     2,     4,     0
2346,     3,     4,    -2
2355,     2,     3,    -4
2366,     2,     1,    -6
2375,     2,     2,    -6
2385,     2,     4,    -6
2396,     0,     6,    -4
2405,     0,     7,    -5
2416,     1,     8,    -5
2425,     5,     8,    -5
2435,     7,    10,    -5
2446,    10,    11,    -5
2455,    12,    11,    -6
2466,    11,     8,    -8
2475,     9,     4,    -9
2486,     8,     2,   -10
2495,     7,     1,   -11
2505,     5,     2,   -11
2516,     4,     5,   -10
2525,     2,    12,    -8
2534,     0,    18,    -7
2545,    -3,    20,    -6
2555,    -3,    18,    -5
2565,    -3,    14,    -4
2575,     0,    12,    -3
2586,     4,    15,    -2
2595,     7,    20,    -1
2604,     8,    22,     0
2616,     8,    20,     0
2625,     9,    17,    -1
2634,     7,    12,    -4
2645,     5,     6,    -6
2655,     4,     3,    -6
2666,     5,     5,    -6
2675,     6,     8,    -5
2684,     6,    11,    -3
2695,     5,    12,    -2
2704,     3,    13,    -1
2715,     0,    15,    -1
2725,    -4,    15,     0
2736,    -8,    12,     0
2745,   -11,    10,     1
2754,   -13,     9,     3
2765,   -13,    11,     6
2774,   -12,    15,     9
2785,   -11,    18,    11
2795,    -9,    18,    12
2806,    -7,    16,    10
2815,    -6,    14,     8
2825,    -9,    11,     4
2835,   -12,     8,     0
2845,   -15,     7,    -5
2854,   -15,     6,    -8
2865,    -9,     6,    -8
2874,     1,     7,    -6
