time,accx,accy,accz
2455,   193,  -265,   400
2466,   -33,  -216,   483
2475,  -197,  -169,   487
2486,  -229,  -125,   391
2495,  -201,   -34,   201
2505,  -147,   100,   -21
2516,   -33,   235,  -299
2525,    73,   345,  -501
2534,    54,   437,  -557
2545,  -129,   467,  -476
2555,  -381,   460,  -326
2565,  -606,   406,  -260
2575,  -648,   209,  -291
2586,  -589,     4,  -286
2595,  -623,  -160,  -201
2604,  -777,  -298,     0
2616,  -968,  -469,   258
2625, -1132,  -614,   510
2634, -1321,  -590,   694
2645, -1411,  -528,   710
2655, -1309,  -442,   621
2666, -1139,  -290,   490
2675, -1004,   -89,   346
2684,  -933,   131,   244
2695,  -912,   362,   147
2704,  -894,   567,    72
2715,  -909,   757,    48
2725, -1024,   921,    14
2736, -1149,  1053,   -27
2745, -1226,  1139,  -117
2754, -1211,  1178,  -262
2765, -1144,  1175,  -394
2774, -1104,  1058,  -469
2785, -1136,   825,  -414
2795, -1250,   517,  -279
2806, -1374,   198,   -81
2815, -1483,   -11,   120
2825, -1531,  -165,   272
2835, -1511,  -303,   383
2845, -1465,  -397,   462
2854, -1420,  -464,   484
2865, -1359,  -558,   472
2874, -1294,  -571,   441
2885, -1228,  -448,   381
2894, -1182,  -233,   349
2905, -1191,    41,   332
2915, -1185,   360,   334
2924, -1129,   608,   336
2935, -1118,   813,   294
2944, -1154,   916,   295
2955, -1215,   878,   387
2965, -1351,   696,   607
2974, -1597,   449,   923
2985, -1895,   192,  1234
2994, -2084,   -45,  1474
3005, -2178,  -272,  1634
3014, -2211,  -488,  1658
3024, -2160,  -687,  1579
3035, -2061,  -853,  1420
3044, -1914,  -972,  1251
3055, -1766, -1025,  1077
3065, -1617, -1013,   854
3074, -1427,  -961,   643
3085, -1264,  -907,   469
3094, -1172,  -851,   319
3105, -1118,  -765,   211
3114, -1075,  -672,   125
3124, -1039,  -613,    57
3135,  -998,  -562,    12
3144,  -992,  -477,   -41
3155,  -969,  -322,  -123
3164,  -898,  -149,  -217
3174,  -774,  -125,  -336
3185,  -636,  -384,  -408
3194,  -417,  -801,  -350
3204,  -252, -1045,  -213
3215,  -205, -1053,   -28
3224,  -232,  -771,   223
3235,  -353,  -273,   455
3244,  -496,   256,   674
3254,  -593,   667,   931
3265,  -773,   990,  1074
3274,  -918,  1258,  1096
3285,  -951,  1337,  1055
3294,  -922,  1150,  1003
3305,  -881,   800,   966
3314,  -886,   277,   957
3324,  -911,  -329,  1030
3335, -1000,  -787,  1138
3344, -1133,  -939,  1178
3354, -1255,  -821,  1089
3365, -1271,  -624,   872
3374, -1252,  -660,   568
3385, -1196,  -961,   263
3394, -1056, -1326,     6
3405,  -881, -1652,  -213
3414,  -739, -1856,  -417
3424,  -607, -1881,  -546
3435,  -527, -1773,  -578
3444,  -543, -1627,  -601
3453,  -634, -1426,  -582
3464,  -810, -1412,  -360
3474, -1057, -1510,   105
3485, -1445, -1433,   589
3494, -1746, -1171,   920
3503, -1777,  -930,   988
3514, -1612,  -741,   836
3524, -1314,  -644,   583
3535,  -948,  -748,   392
3544,  -736,  -837,   327
3553,  -812,  -744,   308
3564, -1038,  -438,   360
3574, -1228,    21,   428
3584, -1349,   419,   447
3594, -1316,   466,   425
3605, -1261,   264,   365
3614, -1180,   -50,   124
3623,  -980,  -257,  -199
3635,  -633,  -302,  -519
3644,  -288,   -93,  -793
3653,   -11,   259, -1030
3664,   174,   478, -1184
3674,   329,   459, -1219
3685,   426,   290, -1089
3694,   445,    29,  -894
3703,   336,   -95,  -770
3714,   245,   -56,  -732
3723,   210,    85,  -763
3734,   220,   203,  -785
3743,   254,   100,  -729
3755,   330,  -132,  -649
3764,   380,  -319,  -554
3773,   375,  -278,  -491
3784,   376,    52,  -449
3794,   430,   567,  -304
3805,   419,  1069,   -91
3814,   270,  1400,   116
3823,    61,  1436,   230
3834,   -92,  1182,   213
3844,   -69,   884,    96
