time,qw,qx,qy,qz
5,-0.62854,-0.37451,0.06903,0.67822
12,-0.62860,-0.37457,0.06909,0.67810
18,-0.62872,-0.37451,0.06909,0.67798
23,-0.62878,-0.37451,0.06915,0.67792
29,-0.62891,-0.37451,0.06915,0.67786
37,-0.62897,-0.37451,0.06903,0.67780
48,-0.62903,-0.37457,0.06897,0.67773
57,-0.62909,-0.37457,0.06879,0.67767
68,-0.62909,-0.37451,0.06860,0.67767
78,-0.62915,-0.37451,0.06848,0.67767
87,-0.62909,-0.37439,0.06836,0.67780
98,-0.62909,-0.37433,0.06824,0.67792
107,-0.62903,-0.37421,0.06818,0.67798
118,-0.62909,-0.37415,0.06805,0.67798
127,-0.62909,-0.37415,0.06787,0.67798
138,-0.62915,-0.37415,0.06769,0.67792
148,-0.62927,-0.37415,0.06744,0.67786
157,-0.62933,-0.37421,0.06720,0.67780
168,-0.62939,-0.37427,0.06696,0.67773
177,-0.62939,-0.37433,0.06677,0.67773
188,-0.62946,-0.37433,0.06659,0.67767
198,-0.62952,-0.37439,0.06641,0.67761
207,-0.62958,-0.37439,0.06628,0.67755
217,-0.62964,-0.37445,0.06610,0.67749
228,-0.62970,-0.37451,0.06592,0.67743
237,-0.62982,-0.37457,0.06580,0.67731
248,-0.62982,-0.37463,0.06567,0.67725
257,-0.62988,-0.37476,0.06561,0.67719
268,-0.62988,-0.37488,0.06561,0.67712
277,-0.62982,-0.37500,0.06561,0.67706
287,-0.62976,-0.37506,0.06561,0.67706
298,-0.62976,-0.37500,0.06561,0.67712
307,-0.62976,-0.37500,0.06567,0.67712
318,-0.62970,-0.37500,0.06573,0.67712
327,-0.62964,-0.37506,0.06592,0.67712
338,-0.62958,-0.37524,0.06610,0.67712
347,-0.62946,-0.37537,0.06635,0.67712
357,-0.62933,-0.37555,0.06653,0.67712
368,-0.62927,-0.37555,0.06677,0.67712
377,-0.62921,-0.37555,0.06696,0.67719
388,-0.62921,-0.37555,0.06708,0.67719
397,-0.62915,-0.37555,0.06726,0.67725
408,-0.62909,-0.37561,0.06744,0.67725
417,-0.62903,-0.37567,0.06763,0.67725
428,-0.62897,-0.37573,0.06781,0.67725
437,-0.62897,-0.37573,0.06799,0.67725
447,-0.62897,-0.37573,0.06805,0.67719
458,-0.62909,-0.37573,0.06799,0.67712
467,-0.62921,-0.37579,0.06781,0.67700
478,-0.62933,-0.37585,0.06744,0.67688
487,-0.62952,-0.37592,0.06696,0.67676
498,-0.62964,-0.37585,0.06647,0.67670
507,-0.62976,-0.37573,0.06604,0.67670
517,-0.62982,-0.37555,0.06567,0.67676
528,-0.62982,-0.37537,0.06543,0.67688
537,-0.62982,-0.37518,0.06531,0.67694
548,-0.62982,-0.37512,0.06531,0.67706
557,-0.62976,-0.37512,0.06543,0.67706
568,-0.62964,-0.37524,0.06561,0.67712
577,-0.62952,-0.37543,0.06580,0.67712
587,-0.62939,-0.37555,0.06598,0.67712
598,-0.62939,-0.37561,0.06610,0.67712
607,-0.62933,-0.37555,0.06622,0.67712
618,-0.62933,-0.37555,0.06635,0.67712
627,-0.62933,-0.37555,0.06641,0.67712
638,-0.62933,-0.37567,0.06647,0.67706
647,-0.62927,-0.37573,0.06653,0.67706
656,-0.62927,-0.37579,0.06659,0.67700
667,-0.62927,-0.37579,0.06659,0.67706
677,-0.62927,-0.37579,0.06659,0.67706
688,-0.62933,-0.37561,0.06659,0.67712
697,-0.62939,-0.37543,0.06653,0.67712
708,-0.62946,-0.37531,0.06641,0.67712
717,-0.62952,-0.37531,0.06641,0.67712
726,-0.62952,-0.37543,0.06635,0.67706
737,-0.62946,-0.37555,0.06641,0.67700
