time,accx,accy,accz
8, -3382,  5138,  6254
18, -3372,  5134,  6253
27, -3366,  5133,  6254
39, -3377,  5137,  6261
48, -3398,  5140,  6263
59, -3433,  5156,  6267
68, -3470,  5176,  6266
78, -3500,  5196,  6269
89, -3521,  5196,  6273
98, -3533,  5181,  6276
107, -3529,  5155,  6276
118, -3524,  5130,  6278
127, -3531,  5134,  6277
138, -3540,  5160,  6280
148, -3553,  5182,  6279
159, -3566,  5196,  6280
168, -3571,  5207,  6277
177, -3569,  5214,  6277
188, -3544,  5216,  6273
198, -3505,  5214,  6270
209, -3459,  5187,  6266
218, -3411,  5164,  6258
227, -3371,  5133,  6250
238, -3355,  5122,  6246
247, -3352,  5128,  6241
258, -3350,  5139,  6234
268, -3344,  5157,  6239
277, -3337,  5154,  6241
288, -3338,  5147,  6248
297, -3359,  5149,  6255
308, -3391,  5156,  6261
318, -3418,  5157,  6263
327, -3445,  5153,  6265
338, -3483,  5124,  6271
347, -3523,  5081,  6276
358, -3555,  5046,  6283
367, -3590,  5039,  6287
378, -3628,  5069,  6294
388, -3647,  5115,  6292
397, -3639,  5179,  6288
408, -3612,  5239,  6278
417, -3574,  5308,  6260
428, -3570,  5342,  6255
438, -3557,  5367,  6255
447, -3556,  5397,  6259
458, -3550,  5379,  6268
467, -3527,  5326,  6271
477, -3495,  5243,  6273
488, -3461,  5156,  6262
497, -3436,  5053,  6253
508, -3411,  4957,  6249
517, -3389,  4904,  6236
527, -3372,  4874,  6229
538, -3367,  4862,  6228
547, -3371,  4894,  6234
558, -3386,  4949,  6238
567, -3409,  5008,  6245
578, -3429,  5059,  6253
588, -3447,  5095,  6254
597, -3469,  5126,  6258
608, -3479,  5147,  6265
617, -3492,  5153,  6264
628, -3495,  5138,  6266
637, -3506,  5122,  6267
647, -3518,  5123,  6271
658, -3530,  5149,  6270
667, -3530,  5175,  6269
678, -3530,  5177,  6264
687, -3520,  5166,  6257
697, -3510,  5155,  6256
708, -3497,  5146,  6251
717, -3490,  5127,  6244
728, -3485,  5122,  6254
737, -3482,  5125,  6258
747, -3489,  5117,  6255
757, -3479,  5098,  6255
767, -3468,  5098,  6256
778, -3453,  5097,  6254
787, -3437,  5098,  6253
798, -3416,  5108,  6257
807, -3389,  5089,  6251
817, -3374,  5069,  6250
828, -3370,  5062,  6255
837, -3381,  5069,  6254
848, -3395,  5095,  6256
857, -3410,  5131,  6257
866, -3423,  5144,  6255
877, -3429,  5138,  6262
887, -3445,  5133,  6264
898, -3455,  5114,  6267
907, -3470,  5129,  6262
918, -3484,  5156,  6270
927, -3494,  5173,  6259
936, -3495,  5162,  6258
947, -3495,  5159,  6262
957, -3490,  5160,  6259
968, -3486,  5162,  6264
977, -3483,  5168,  6269
988, -3485,  5173,  6268
997, -3472,  5171,  6262
1007, -3445,  5147,  6259
1017, -3425,  5135,  6255
1027, -3410,  5129,  6256
1038, -3403,  5123,  6256
1047, -3398,  5126,  6252
1056, -3408,  5116,  6252
1067, -3418,  5100,  6250
1077, -3422,  5090,  6247
1087, -3428,  5085,  6248
1097, -3427,  5079,  6252
1108, -3427,  5075,  6256
1117, -3421,  5084,  6251
1126, -3411,  5093,  6253
1137, -3407,  5095,  6255
1147, -3411,  5090,  6257
1158, -3415,  5085,  6260
1167, -3419,  5068,  6262
1176, -3428,  5051,  6262
1187, -3445,  5042,  6265
1196, -3453,  5045,  6271
1207, -3450,  5054,  6272
1217, -3447,  5088,  6268
1228, -3452,  5128,  6267
1237, -3448,  5168,  6269
1246, -3446,  5195,  6267
1257, -3442,  5191,  6260
1267, -3448,  5181,  6258
1277, -3449,  5145,  6265
1287, -3460,  5136,  6274
1296, -3471,  5121,  6272
1307, -3495,  5100,  6273
1316, -3500,  5075,  6279
1327, -3473,  5069,  6269
1337, -3421,  5086,  6271
1348, -3418,  5123,  6286
1357, -3381,  5172,  6280
1366, -3322,  5232,  6270
1377, -3231,  5298,  6249
1386, -3119,  5371,  6244
1397, -2994,  5501,  6243
