time,gyrx,gyry,gyrz
8,   -14,   -13,     8
18,   -14,   -13,     8
27,   -14,   -12,     8
39,   -14,   -12,     8
48,   -13,   -11,     8
59,   -13,   -12,     8
68,   -14,   -12,     8
78,   -14,   -12,     8
89,   -14,   -13,     8
98,   -14,   -14,     8
107,   -14,   -14,     8
118,   -13,   -14,     8
127,   -13,   -14,     8
138,   -13,   -15,     8
148,   -14,   -15,     8
159,   -14,   -16,     8
168,   -14,   -16,     8
177,   -15,   -17,     8
188,   -15,   -17,     8
198,   -15,   -17,     9
209,   -15,   -16,     9
218,   -15,   -16,     9
227,   -15,   -15,     9
238,   -14,   -14,     8
247,   -14,   -13,     8
258,   -14,   -13,     8
268,   -14,   -12,     8
277,   -14,   -11,     8
288,   -14,   -11,     8
297,   -14,   -10,     8
308,   -14,   -10,     8
318,   -14,   -10,     8
327,   -14,   -10,     8
338,   -14,   -10,     9
347,   -13,   -11,     9
358,   -12,   -12,     9
367,   -11,   -13,     9
378,   -11,   -14,     9
388,   -11,   -15,     9
397,   -12,   -16,     9
408,   -13,   -16,     9
417,   -14,   -16,     9
428,   -16,   -16,     9
438,   -17,   -16,     9
447,   -19,   -17,     9
458,   -20,   -17,     9
467,   -21,   -17,     9
477,   -21,   -17,     9
488,   -20,   -16,     9
497,   -19,   -16,     8
508,   -17,   -15,     8
517,   -15,   -15,     8
527,   -13,   -14,     8
538,   -12,   -13,     9
547,   -11,   -13,     9
558,   -10,   -13,     9
567,   -11,   -12,     8
578,   -11,   -12,     9
588,   -12,   -13,     9
597,   -12,   -13,     9
608,   -13,   -13,     8
617,   -13,   -13,     8
628,   -13,   -13,     8
637,   -13,   -14,     8
647,   -13,   -14,     8
658,   -13,   -14,     8
667,   -14,   -15,     8
678,   -14,   -15,     8
687,   -14,   -15,     8
697,   -15,   -15,     8
708,   -15,   -15,     8
717,   -14,   -15,     8
728,   -14,   -15,     8
737,   -14,   -15,     8
747,   -14,   -15,     9
757,   -14,   -16,     9
767,   -14,   -16,     9
778,   -14,   -15,     9
787,   -14,   -15,     9
798,   -14,   -15,     9
807,   -14,   -14,     9
817,   -13,   -14,     9
828,   -13,   -13,     9
837,   -12,   -13,     9
848,   -12,   -13,     9
857,   -13,   -13,     9
866,   -13,   -13,     9
877,   -13,   -13,     9
887,   -13,   -13,     9
898,   -13,   -13,     9
907,   -13,   -13,     9
918,   -13,   -14,     8
927,   -14,   -14,     8
936,   -14,   -15,     8
947,   -14,   -15,     9
957,   -14,   -15,     9
968,   -14,   -15,     9
977,   -15,   -15,     9
988,   -15,   -15,     9
997,   -15,   -15,     9
1007,   -15,   -15,     9
1017,   -15,   -15,     8
1027,   -15,   -15,     8
1038,   -15,   -14,     8
1047,   -15,   -14,     8
1056,   -15,   -14,     8
1067,   -15,   -14,     8
1077,   -15,   -14,     8
1087,   -15,   -14,     8
1097,   -14,   -14,     8
1108,   -14,   -14,     8
1117,   -14,   -14,     8
1126,   -14,   -14,     8
1137,   -14,   -14,     8
1147,   -14,   -13,     8
1158,   -14,   -13,     8
1167,   -14,   -13,     8
1176,   -14,   -13,     8
1187,   -13,   -13,     8
1196,   -13,   -14,     8
1207,   -13,   -14,     9
1217,   -13,   -14,     9
