time,accx,accy,accz
8, -3854,  3108, -1667
18, -3843,  3105, -1669
27, -3835,  3105, -1668
39, -3842,  3109, -1661
48, -3859,  3111, -1660
59, -3890,  3127, -1655
68, -3921,  3146, -1656
78, -3947,  3166, -1654
89, -3966,  3166, -1650
98, -3976,  3152, -1648
107, -3972,  3128, -1648
118, -3967,  3104, -1646
127, -3974,  3106, -1647
138, -3984,  3131, -1643
148, -3999,  3153, -1644
159, -4014,  3166, -1643
168, -4022,  3178, -1646
177, -4025,  3186, -1646
188, -4006,  3190, -1650
198, -3974,  3190, -1654
209, -3934,  3167, -1658
218, -3892,  3147, -1666
227, -3855,  3118, -1674
238, -3841,  3108, -1678
247, -3838,  3115, -1683
258, -3835,  3126, -1691
268, -3826,  3144, -1686
277, -3816,  3141, -1684
288, -3812,  3135, -1678
297, -3826,  3139, -1671
308, -3850,  3146, -1666
318, -3870,  3148, -1664
327, -3890,  3145, -1663
338, -3920,  3116, -1658
347, -3954,  3075, -1653
358, -3980,  3038, -1647
367, -4011,  3028, -1642
378, -4047,  3053, -1634
388, -4066,  3094, -1635
397, -4060,  3153, -1637
408, -4036,  3209, -1646
417, -4002,  3275, -1663
428, -4003,  3310, -1668
438, -3994,  3340, -1669
447, -3999,  3376, -1667
458, -3998,  3369, -1660
467, -3981,  3328, -1659
477, -3956,  3259, -1661
488, -3927,  3186, -1674
497, -3907,  3095, -1687
508, -3886,  3009, -1693
517, -3866,  2962, -1707
527, -3851,  2934, -1714
538, -3847,  2921, -1715
547, -3849,  2949, -1708
558, -3863,  2998, -1703
567, -3882,  3051, -1694
578, -3899,  3096, -1685
588, -3915,  3128, -1683
597, -3934,  3154, -1679
608, -3942,  3173, -1671
617, -3953,  3177, -1671
628, -3954,  3161, -1669
637, -3964,  3143, -1668
647, -3976,  3143, -1664
658, -3988,  3167, -1664
667, -3989,  3192, -1665
678, -3990,  3193, -1670
687, -3982,  3184, -1677
697, -3975,  3174, -1679
708, -3964,  3167, -1683
717, -3960,  3149, -1690
728, -3957,  3146, -1682
737, -3958,  3150, -1677
747, -3967,  3143, -1680
757, -3960,  3125, -1680
767, -3952,  3126, -1679
778, -3941,  3125, -1681
787, -3928,  3127, -1682
798, -3910,  3137, -1678
807, -3884,  3117, -1684
817, -3871,  3097, -1684
828, -3867,  3089, -1679
837, -3877,  3094, -1679
848, -3889,  3117, -1677
857, -3903,  3151, -1675
866, -3913,  3162, -1677
877, -3918,  3154, -1670
887, -3932,  3149, -1667
898, -3941,  3129, -1665
907, -3955,  3142, -1670
918, -3967,  3168, -1662
927, -3978,  3184, -1672
936, -3980,  3173, -1673
947, -3981,  3171, -1669
957, -3978,  3173, -1672
968, -3976,  3176, -1668
977, -3975,  3183, -1663
988, -3980,  3190, -1664
997, -3970,  3191, -1670
1007, -3946,  3170, -1674
1017, -3928,  3161, -1679
1027, -3915,  3158, -1678
1038, -3910,  3155, -1679
1047, -3905,  3161, -1683
1056, -3916,  3154, -1684
1067, -3925,  3141, -1687
1077, -3928,  3133, -1690
1087, -3935,  3130, -1690
1097, -3934,  3126, -1686
1108, -3934,  3123, -1683
1117, -3928,  3133, -1688
1126, -3918,  3143, -1686
1137, -3914,  3146, -1684
1147, -3917,  3142, -1683
1158, -3921,  3138, -1680
1167, -3923,  3122, -1679
1176, -3931,  3105, -1678
1187, -3947,  3096, -1675
1196, -3953,  3099, -1670
1207, -3950,  3106, -1668
1217, -3946,  3138, -1672
1228, -3952,  3175, -1672
1237, -3947,  3215, -1670
1246, -3945,  3243, -1672
1257, -3941,  3241, -1680
1267, -3948,  3236, -1683
1277, -3949,  3205, -1677
1287, -3960,  3202, -1669
1296, -3971,  3191, -1672
1307, -3997,  3176, -1673
1316, -4004,  3157, -1667
1327, -3983,  3154, -1679
1337, -3936,  3176, -1678
1348, -3938,  3216, -1663
1357, -3906,  3270, -1670
1366, -3851,  3338, -1681
1377, -3762,  3414, -1705
1386, -3648,  3501, -1713
1397, -3516,  3650, -1719
1407, -3418,  3869, -1718
1416, -3423,  3950, -1567
1427, -3398,  3842, -1476
1436, -3296,  3598, -1485
1447, -3240,  3338, -1472
1456, -3129,  3068, -1534
1467, -3111,  2813, -1561
1477, -3157,  2538, -1551
1486, -3264,  2361, -1492
1497, -3346,  2326, -1434
1506, -3415,  2311, -1357
1517, -3508,  2319, -1255
1526, -3606,  2284, -1199
1537, -3688,  2204, -1243
1547, -3761,  2108, -1301
1556, -3838,  2008, -1366
1567, -3915,  1934, -1382
1576, -4011,  1880, -1405
1587, -4073,  1862, -1450
1596, -4136,  1840, -1508
1606, -4204,  1825, -1600
1617, -4278,  1853, -1689
1626, -4314,  1895, -1792
1637, -4301,  1950, -1885
1646, -4325,  2040, -1877
1656, -4372,  2125, -1806
1667, -4427,  2220, -1748
1676, -4443,  2343, -1758
1687, -4442,  2462, -1755
1696, -4451,  2604, -1753
1707, -4471,  2728, -1785
1716, -4469,  2868, -1821
1726, -4446,  3045, -1849
1737, -4437,  3177, -1865
1746, -4430,  3271, -1898
1757, -4418,  3341, -1937
1766, -4407,  3386, -1978
1776, -4417,  3412, -1998
1786, -4426,  3401, -2004
1796, -4431,  3346, -1999
1807, -4429,  3320, -1995
1816, -4410,  3325, -1979
1827, -4399,  3308, -1970
1836, -4414,  3254, -1990
1846, -4369,  3203, -2058
1856, -4302,  3117, -2154
1866, -4239,  3081, -2210
1877, -4181,  3056, -2193
1886, -4133,  2969, -2096
1897, -4106,  2913, -1968
1906, -4106,  2885, -1830
1916, -4124,  2874, -1696
1927, -4150,  2938, -1603
1936, -4174,  2977, -1527
1947, -4128,  2975, -1464
1956, -4076,  2900, -1443
1965, -3985,  2811, -1465
1976, -3904,  2748, -1539
1986, -3814,  2707, -1663
1997, -3752,  2658, -1760
2006, -3717,  2618, -1847
2017, -3666,  2598, -1915
2026, -3633,  2585, -1954
2035, -3631,  2551, -1903
2046, -3673,  2568, -1755
2056, -3765,  2655, -1595
2067, -3826,  2739, -1507
