time,qw,qx,qy,qz
8,0.85846,0.12268,0.03735,0.49652
18,0.85815,0.12256,0.03748,0.49707
27,0.85785,0.12244,0.03760,0.49756
39,0.85760,0.12231,0.03790,0.49805
48,0.85730,0.12219,0.03821,0.49860
59,0.85699,0.12207,0.03851,0.49908
68,0.85669,0.12189,0.03888,0.49957
78,0.85645,0.12177,0.03918,0.50012
89,0.85614,0.12164,0.03937,0.50061
98,0.85590,0.12152,0.03949,0.50110
107,0.85559,0.12140,0.03955,0.50159
118,0.85529,0.12134,0.03955,0.50208
127,0.85504,0.12140,0.03967,0.50256
138,0.85474,0.12146,0.03973,0.50299
148,0.85443,0.12152,0.03973,0.50348
159,0.85419,0.12158,0.03967,0.50391
168,0.85388,0.12164,0.03955,0.50439
177,0.85364,0.12170,0.03931,0.50482
188,0.85339,0.12177,0.03900,0.50525
198,0.85315,0.12183,0.03864,0.50574
209,0.85284,0.12183,0.03827,0.50623
218,0.85254,0.12183,0.03796,0.50671
227,0.85229,0.12177,0.03778,0.50720
238,0.85199,0.12177,0.03772,0.50769
247,0.85168,0.12170,0.03778,0.50818
258,0.85144,0.12164,0.03790,0.50867
268,0.85114,0.12152,0.03809,0.50916
277,0.85083,0.12140,0.03833,0.50970
288,0.85052,0.12115,0.03864,0.51025
297,0.85022,0.12085,0.03900,0.51074
308,0.84991,0.12054,0.03949,0.51129
318,0.84961,0.12024,0.03992,0.51184
327,0.84930,0.11993,0.04034,0.51239
338,0.84900,0.11963,0.04083,0.51294
347,0.84869,0.11932,0.04120,0.51349
358,0.84839,0.11920,0.04163,0.51404
367,0.84802,0.11920,0.04199,0.51453
378,0.84772,0.11938,0.04236,0.51508
388,0.84735,0.11963,0.04260,0.51556
397,0.84698,0.11993,0.04272,0.51599
408,0.84668,0.12024,0.04272,0.51648
417,0.84637,0.12048,0.04266,0.51697
428,0.84601,0.12054,0.04248,0.51752
438,0.84576,0.12042,0.04218,0.51801
447,0.84552,0.12024,0.04175,0.51849
458,0.84528,0.11981,0.04120,0.51904
467,0.84503,0.11932,0.04053,0.51953
477,0.84485,0.11877,0.03979,0.52008
488,0.84460,0.11823,0.03912,0.52057
497,0.84442,0.11768,0.03857,0.52112
508,0.84418,0.11725,0.03809,0.52161
517,0.84393,0.11700,0.03784,0.52209
527,0.84363,0.11694,0.03772,0.52258
538,0.84326,0.11700,0.03784,0.52313
547,0.84296,0.11713,0.03809,0.52362
558,0.84259,0.11737,0.03845,0.52411
567,0.84222,0.11755,0.03888,0.52460
578,0.84186,0.11774,0.03931,0.52515
588,0.84149,0.11786,0.03967,0.52563
597,0.84119,0.11798,0.04004,0.52612
608,0.84088,0.11804,0.04028,0.52661
617,0.84052,0.11804,0.04053,0.52710
628,0.84021,0.11804,0.04071,0.52759
637,0.83990,0.11804,0.04089,0.52808
647,0.83960,0.11810,0.04102,0.52856
658,0.83929,0.11816,0.04114,0.52899
667,0.83899,0.11823,0.04120,0.52948
678,0.83868,0.11829,0.04120,0.52997
687,0.83838,0.11823,0.04114,0.53040
697,0.83813,0.11823,0.04102,0.53088
708,0.83783,0.11823,0.04089,0.53131
717,0.83752,0.11823,0.04077,0.53180
728,0.83728,0.11816,0.04065,0.53229
737,0.83698,0.11823,0.04053,0.53271
747,0.83667,0.11823,0.04041,0.53320
757,0.83636,0.11823,0.04028,0.53363
767,0.83606,0.11829,0.04016,0.53412
778,0.83575,0.11835,0.04004,0.53461
787,0.83545,0.11841,0.03992,0.53510
798,0.83514,0.11847,0.03986,0.53558
807,0.83484,0.11853,0.03986,0.53607
817,0.83447,0.11859,0.03986,0.53656
828,0.83417,0.11859,0.03998,0.53705
837,0.83380,0.11865,0.04016,0.53754
848,0.83350,0.11871,0.04041,0.53802
857,0.83313,0.11877,0.04065,0.53851
866,0.83282,0.11877,0.04089,0.53900
877,0.83252,0.11877,0.04108,0.53949
887,0.83215,0.11871,0.04126,0.53998
898,0.83185,0.11871,0.04144,0.54047
907,0.83154,0.11871,0.04163,0.54095
918,0.83124,0.11871,0.04181,0.54144
927,0.83093,0.11877,0.04187,0.54187
936,0.83063,0.11877,0.04187,0.54236
947,0.83032,0.11871,0.04187,0.54279
957,0.83002,0.11871,0.04181,0.54327
968,0.82971,0.11871,0.04175,0.54376
977,0.82941,0.11871,0.04163,0.54425
988,0.82910,0.11865,0.04150,0.54468
997,0.82880,0.11859,0.04132,0.54517
1007,0.82849,0.11853,0.04114,0.54565
1017,0.82825,0.11841,0.04095,0.54614
1027,0.82794,0.11829,0.04083,0.54657
1038,0.82770,0.11816,0.04071,0.54706
1047,0.82739,0.11804,0.04065,0.54749
1056,0.82709,0.11786,0.04059,0.54797
1067,0.82684,0.11768,0.04059,0.54840
1077,0.82654,0.11749,0.04059,0.54889
1087,0.82623,0.11737,0.04059,0.54938
1097,0.82593,0.11725,0.04059,0.54987
1108,0.82562,0.11719,0.04059,0.55035
1117,0.82532,0.11713,0.04065,0.55078
1126,0.82501,0.11707,0.04065,0.55127
1137,0.82471,0.11700,0.04071,0.55176
1147,0.82440,0.11688,0.04077,0.55225
1158,0.82410,0.11676,0.04083,0.55273
1167,0.82379,0.11664,0.04095,0.55322
1176,0.82343,0.11658,0.04108,0.55371
1187,0.82312,0.11652,0.04120,0.55414
1196,0.82281,0.11646,0.04138,0.55463
1207,0.82245,0.11652,0.04150,0.55511
1217,0.82214,0.11658,0.04169,0.55560
1228,0.82178,0.11670,0.04181,0.55609
1237,0.82147,0.11670,0.04193,0.55652
1246,0.82117,0.11658,0.04193,0.55701
1257,0.82086,0.11646,0.04193,0.55750
1267,0.82056,0.11621,0.04181,0.55798
1277,0.82025,0.11591,0.04169,0.55847
1287,0.81995,0.11560,0.04156,0.55902
1296,0.81964,0.11536,0.04144,0.55951
1307,0.81934,0.11511,0.04126,0.56006
1316,0.81891,0.11487,0.04102,0.56067
1327,0.81848,0.11481,0.04071,0.56140
1337,0.81799,0.11475,0.04041,0.56219
1348,0.81738,0.11469,0.04016,0.56311
1357,0.81671,0.11456,0.03986,0.56409
1366,0.81604,0.11426,0.03955,0.56512
1377,0.81543,0.11377,0.03918,0.56616
1386,0.81476,0.11292,0.03894,0.56726
1397,0.81415,0.11163,0.03876,0.56848
1407,0.81329,0.10980,0.03864,0.57001
1416,0.81226,0.10748,0.03833,0.57196
1427,0.81104,0.10529,0.03729,0.57416
1436,0.80975,0.10327,0.03577,0.57642
1447,0.80847,0.10138,0.03442,0.57867
1456,0.80713,0.09961,0.03351,0.58081
1467,0.80585,0.09827,0.03339,0.58295
1477,0.80457,0.09729,0.03400,0.58478
1486,0.80347,0.09698,0.03503,0.58630
1497,0.80249,0.09705,0.03632,0.58752
1506,0.80157,0.09692,0.03748,0.58875
1517,0.80078,0.09625,0.03833,0.58990
1526,0.80017,0.09491,0.03851,0.59088
1537,0.79987,0.09314,0.03809,0.59161
1547,0.79974,0.09100,0.03729,0.59216
1556,0.79980,0.08862,0.03632,0.59247
1567,0.80005,0.08624,0.03546,0.59253
1576,0.80042,0.08417,0.03485,0.59247
1587,0.80078,0.08258,0.03461,0.59216
1596,0.80115,0.08167,0.03467,0.59174
1606,0.80164,0.08136,0.03510,0.59113
1617,0.80212,0.08148,0.03589,0.59039
1626,0.80273,0.08191,0.03687,0.58948
1637,0.80334,0.08240,0.03790,0.58850
1646,0.80408,0.08270,0.03900,0.58740
1656,0.80487,0.08270,0.03998,0.58618
1667,0.80591,0.08270,0.04065,0.58478
1676,0.80701,0.08276,0.04102,0.58319
1687,0.80817,0.08307,0.04132,0.58148
1696,0.80939,0.08350,0.04156,0.57971
1707,0.81055,0.08423,0.04187,0.57794
1716,0.81171,0.08527,0.04236,0.57611
1726,0.81281,0.08661,0.04297,0.57434
1737,0.81372,0.08820,0.04382,0.57275
1746,0.81458,0.08997,0.04468,0.57117
1757,0.81543,0.09167,0.04553,0.56970
1766,0.81616,0.09326,0.04633,0.56824
1776,0.81696,0.09448,0.04694,0.56689
1786,0.81769,0.09515,0.04742,0.56561
1796,0.81848,0.09540,0.04779,0.56445
1807,0.81921,0.09528,0.04810,0.56335
1816,0.81995,0.09491,0.04846,0.56232
1827,0.82068,0.09448,0.04877,0.56134
1836,0.82147,0.09406,0.04895,0.56024
1846,0.82227,0.09387,0.04907,0.55908
1856,0.82306,0.09375,0.04926,0.55792
1866,0.82385,0.09393,0.04980,0.55670
1877,0.82458,0.09436,0.05060,0.55548
1886,0.82532,0.09491,0.05151,0.55420
1897,0.82611,0.09552,0.05237,0.55280
1906,0.82697,0.09625,0.05316,0.55127
1916,0.82794,0.09686,0.05377,0.54962
1927,0.82904,0.09753,0.05414,0.54791
1936,0.83008,0.09814,0.05414,0.54614
1947,0.83118,0.09869,0.05383,0.54443
1956,0.83228,0.09906,0.05310,0.54279
1965,0.83350,0.09930,0.05212,0.54095
1976,0.83472,0.09955,0.05103,0.53912
1986,0.83600,0.09979,0.05005,0.53717
1997,0.83728,0.10022,0.04938,0.53522
2006,0.83844,0.10083,0.04907,0.53320
2017,0.83960,0.10162,0.04913,0.53125
2026,0.84076,0.10248,0.04950,0.52917
2035,0.84192,0.10333,0.05017,0.52716
2046,0.84308,0.10400,0.05103,0.52515
2056,0.84424,0.10474,0.05188,0.52295
2067,0.84552,0.10529,0.05237,0.52075
2076,0.84680,0.10559,0.05255,0.51855
2085,0.84821,0.10553,0.05243,0.51630
2096,0.84967,0.10498,0.05194,0.51404
2106,0.85126,0.10394,0.05133,0.51166
2117,0.85309,0.10254,0.05048,0.50903
2126,0.85510,0.10101,0.04968,0.50598
2135,0.85718,0.09979,0.04913,0.50275
2146,0.85919,0.09900,0.04913,0.49951
2155,0.86096,0.09863,0.04950,0.49646
2166,0.86249,0.09863,0.05035,0.49371
2176,0.86383,0.09894,0.05151,0.49115
2187,0.86511,0.09949,0.05292,0.48865
2196,0.86652,0.10010,0.05438,0.48590
2205,0.86804,0.10077,0.05573,0.48285
2217,0.86981,0.10126,0.05688,0.47937
2226,0.87177,0.10156,0.05774,0.47571
2235,0.87372,0.10156,0.05829,0.47205
2246,0.87567,0.10126,0.05841,0.46851
