time,gyrx,gyry,gyrz
2335,   -11,   -17,   -58
2344,    -9,   -19,   -70
2355,    -6,   -20,   -80
2364,    -1,   -21,   -88
2373,     7,   -23,   -98
2384,    15,   -23,  -104
2394,    18,   -26,  -108
2405,    15,   -30,  -110
2414,    11,   -27,  -111
2423,    13,   -19,  -116
2434,    16,    -6,  -122
2444,    12,     6,  -132
2455,     6,    16,  -143
2464,     4,    28,  -148
2475,     5,    33,  -152
2484,    -4,    22,  -151
2494,   -17,    -2,  -144
2505,   -28,   -22,  -135
2514,   -40,   -30,  -125
2525,   -52,   -26,  -116
2534,   -61,   -17,  -115
2543,   -69,   -14,  -118
2554,   -73,   -16,  -114
2564,   -68,   -17,  -107
2575,   -50,   -19,   -97
2584,   -32,   -29,   -83
2593,   -25,   -43,   -69
2604,   -20,   -56,   -56
2614,   -15,   -66,   -48
2625,   -11,   -67,   -43
2634,   -10,   -65,   -48
2643,   -10,   -58,   -50
2654,   -13,   -43,   -50
2663,   -14,   -23,   -51
2674,    -9,    -2,   -49
2684,    -1,    14,   -42
2695,    11,    22,   -37
2704,    22,    25,   -34
2713,    26,    26,   -32
2724,    23,    27,   -36
2734,    15,    26,   -40
2745,     6,    28,   -40
2754,     1,    34,   -45
2763,     3,    39,   -48
2774,     3,    46,   -45
2783,    -2,    51,   -41
2794,    -7,    49,   -39
2804,    -6,    40,   -35
2813,    -7,    33,   -30
2824,   -10,    24,   -25
2833,   -12,    17,   -25
2844,    -9,    17,   -24
2853,   -14,    25,   -15
2864,   -20,    28,   -13
2874,   -16,    21,   -10
2883,    -8,    13,   -10
2894,    -3,     7,    -9
2903,    -1,     4,   -10
2914,     2,     7,   -14
2924,     7,     9,   -14
2933,    12,     6,   -12
2944,    16,    -4,    -7
2953,    16,   -15,    -1
2964,    12,   -27,     5
2973,     8,   -40,    10
2984,    11,   -57,    13
2994,    17,   -77,    11
3003,    25,   -93,    10
3014,    35,  -104,     7
3023,    42,  -106,     3
3034,    44,  -101,     1
3043,    37,   -92,     0
3054,    25,   -80,     1
3064,    14,   -65,     1
3073,     6,   -47,     0
3084,    -1,   -26,     0
3093,   -10,    -5,     2
3104,   -15,     4,     3
3113,   -17,     3,     4
3123,   -15,    -3,     5
3134,   -11,   -10,     7
3143,    -5,   -16,     5
3154,     1,   -17,     3
3163,     4,   -12,     2
3173,     2,    -5,     3
3184,     2,     4,     4
3193,     3,    13,     2
3204,     6,    17,    -1
3213,     7,    13,    -7
3223,     3,     8,    -8
3234,    -6,     2,    -3
3243,   -16,    -5,     4
3254,   -23,   -13,     9
3263,   -26,   -20,    12
3272,   -25,   -31,     9
3283,   -21,   -40,     0
3293,   -15,   -42,    -7
3304,   -10,   -36,    -9
3313,    -8,   -23,    -7
3324,    -9,    -8,    -4
3333,   -11,     6,    -1
3343,   -12,    13,     0
3354,   -15,    12,     1
3363,   -18,     4,     2
3374,   -19,    -8,     6
3383,   -20,   -18,    10
3393,   -19,   -22,    10
3404,   -13,   -23,     7
3413,    -6,   -23,     4
3424,    -2,   -22,     3
3433,    -2,   -20,     6
3442,    -5,   -15,    11
3453,    -9,    -9,    15
3463,   -11,    -4,    16
3474,   -12,    -3,    14
3483,   -10,    -5,    11
3494,    -7,    -7,     9
3503,    -5,    -8,    10
3513,    -4,    -9,    12
3523,    -5,    -9,    16
3533,   -10,   -11,    18
3544,   -14,   -18,    15
3553,   -16,   -24,    10
3562,   -16,   -29,     5
3573,   -14,   -31,     3
3583,   -15,   -32,     4
3594,   -17,   -38,     7
3603,   -19,   -48,     8
