time,accx,accy,accz
7, -4031,  5417,  6275
16, -4062,  5417,  6298
27, -4057,  5422,  6285
36, -4022,  5423,  6238
47, -3979,  5419,  6186
56, -3954,  5420,  6151
67, -3958,  5431,  6150
77, -3985,  5419,  6175
86, -4018,  5393,  6216
97, -4044,  5380,  6255
106, -4054,  5389,  6278
117, -4075,  5404,  6290
127, -4122,  5415,  6316
136, -4174,  5456,  6360
147, -4217,  5493,  6398
156, -4232,  5512,  6412
167, -4217,  5524,  6394
176, -4176,  5528,  6349
186, -4125,  5520,  6302
197, -4085,  5508,  6269
206, -4071,  5503,  6258
217, -4078,  5500,  6256
226, -4098,  5500,  6257
236, -4121,  5503,  6260
247, -4131,  5513,  6248
256, -4138,  5502,  6209
267, -4147,  5475,  6184
276, -4167,  5450,  6193
287, -4201,  5453,  6213
296, -4225,  5480,  6218
306, -4223,  5504,  6210
317, -4199,  5476,  6176
326, -4181,  5424,  6163
337, -4170,  5381,  6171
346, -4164,  5357,  6191
356, -4171,  5326,  6203
367, -4175,  5325,  6212
376, -4178,  5331,  6224
387, -4189,  5353,  6254
396, -4210,  5388,  6285
405, -4205,  5394,  6290
416, -4169,  5374,  6260
426, -4115,  5339,  6205
437, -4070,  5322,  6158
446, -4048,  5337,  6142
457, -4048,  5378,  6146
466, -4064,  5421,  6160
476, -4087,  5463,  6182
487, -4103,  5491,  6201
496, -4119,  5484,  6222
507, -4127,  5464,  6240
516, -4118,  5439,  6245
526, -4106,  5418,  6233
536, -4093,  5411,  6226
546, -4105,  5418,  6243
557, -4136,  5427,  6262
566, -4154,  5426,  6285
575, -4165,  5441,  6297
586, -4151,  5467,  6285
596, -4135,  5476,  6257
605, -4115,  5471,  6241
616, -4075,  5460,  6222
626, -4037,  5431,  6210
637, -3986,  5381,  6189
646, -3939,  5344,  6158
656, -3919,  5341,  6143
667, -3925,  5336,  6117
676, -3939,  5311,  6093
685, -3938,  5312,  6038
697, -3907,  5317,  6004
706, -3875,  5297,  6013
715, -3889,  5305,  6037
726, -3932,  5363,  6074
736, -3970,  5384,  6131
747, -4024,  5394,  6209
756, -4072,  5389,  6268
765, -4114,  5372,  6300
776, -4127,  5351,  6339
785, -4136,  5369,  6365
796, -4156,  5421,  6380
806, -4179,  5471,  6387
815, -4182,  5483,  6379
826, -4183,  5500,  6360
