time,accx,accy,accz
7, -3872,  3101, -1580
16, -3899,  3097, -1556
27, -3891,  3097, -1567
36, -3854,  3093, -1613
47, -3810,  3085, -1663
56, -3783,  3082, -1697
67, -3781,  3089, -1697
77, -3801,  3074, -1671
86, -3828,  3045, -1629
97, -3850,  3030, -1589
106, -3855,  3037, -1566
117, -3872,  3049, -1552
127, -3914,  3056, -1525
136, -3963,  3092, -1479
147, -4003,  3124, -1439
156, -4019,  3139, -1425
167, -4007,  3149, -1442
176, -3968,  3151, -1486
186, -3920,  3141, -1533
197, -3879,  3127, -1566
206, -3862,  3121, -1576
217, -3866,  3119, -1579
226, -3882,  3120, -1577
236, -3903,  3124, -1575
247, -3911,  3135, -1588
256, -3917,  3126, -1627
267, -3926,  3100, -1652
276, -3942,  3074, -1643
287, -3973,  3077, -1623
296, -3995,  3100, -1616
306, -3993,  3122, -1624
317, -3971,  3093, -1657
326, -3955,  3040, -1671
337, -3943,  2999, -1662
346, -3933,  2978, -1643
356, -3934,  2953, -1633
367, -3933,  2958, -1626
376, -3932,  2971, -1615
387, -3943,  2999, -1587
396, -3966,  3038, -1558
405, -3965,  3046, -1553
416, -3935,  3026, -1584
426, -3888,  2987, -1638
437, -3848,  2965, -1683
446, -3829,  2974, -1697
457, -3830,  3008, -1692
466, -3846,  3047, -1677
476, -3869,  3088, -1654
487, -3885,  3117, -1635
496, -3903,  3113, -1615
507, -3912,  3096, -1598
516, -3906,  3074, -1594
526, -3896,  3054, -1606
536, -3886,  3045, -1613
546, -3899,  3049, -1595
557, -3931,  3053, -1574
566, -3949,  3047, -1550
575, -3963,  3058, -1537
586, -3953,  3080, -1548
596, -3941,  3088, -1576
605, -3925,  3083, -1591
616, -3891,  3074, -1611
626, -3858,  3047, -1624
637, -3811,  2999, -1646
646, -3768,  2963, -1677
656, -3753,  2957, -1692
667, -3763,  2948, -1716
676, -3781,  2917, -1739
685, -3784,  2913, -1792
697, -3755,  2916, -1826
706, -3721,  2899, -1818
715, -3729,  2912, -1794
726, -3765,  2976, -1760
736, -3795,  3003, -1704
747, -3841,  3019, -1628
756, -3882,  3019, -1570
765, -3920,  3004, -1539
776, -3931,  2986, -1501
785, -3937,  3006, -1476
796, -3953,  3061, -1461
806, -3974,  3116, -1455
815, -3975,  3132, -1465
826, -3975,  3153, -1484
835, -3966,  3156, -1497
846, -3967,  3147, -1514
856, -3956,  3134, -1524
867, -3936,  3159, -1548
876, -3903,  3189, -1575
885, -3925,  3180, -1589
896, -3947,  3136, -1594
905, -3946,  3080, -1605
916, -3945,  3046, -1612
926, -3950,  3011, -1613
935, -3973,  2972, -1616
946, -3973,  2968, -1619
955, -3958,  2978, -1605
966, -3994,  2991, -1582
975, -4043,  3042, -1547
986, -4059,  3086, -1539
996, -4047,  3100, -1571
1005, -4003,  3113, -1621
1016, -3956,  3104, -1655
1025, -3917,  3078, -1674
1036, -3885,  3043, -1701
1046, -3866,  3001, -1698
1055, -3874,  2992, -1653
1066, -3913,  3017, -1599
1075, -3944,  3029, -1543
1086, -3934,  3025, -1535
1095, -3894,  2997, -1575
1106, -3844,  2999, -1618
1116, -3771,  3026, -1641
1125, -3663,  3058, -1630
1136, -3551,  3067, -1596
1145, -3401,  3031, -1517
1156, -3165,  3015, -1390
1166, -2855,  3055, -1254
1175, -2505,  3073, -1052
1186, -2109,  3038,  -731
1195, -1757,  2988,  -354
1206, -1547,  2941,    95
