time,accx,accy,accz
8,  4376,   -30, -1036
18,  4389,   -46, -1039
29,  4392,   -43, -1047
38,  4392,   -42, -1055
47,  4388,   -44, -1062
58,  4390,   -66, -1074
68,  4397,   -82, -1077
79,  4406,   -88, -1082
88,  4402,   -89, -1079
97,  4406,   -88, -1070
108,  4409,   -98, -1072
118,  4414,  -107, -1073
129,  4420,  -112, -1079
138,  4425,  -129, -1084
147,  4427,  -135, -1096
158,  4428,  -143, -1115
167,  4430,  -157, -1124
178,  4433,  -167, -1132
188,  4430,  -174, -1144
197,  4437,  -179, -1146
208,  4440,  -190, -1148
217,  4442,  -192, -1148
228,  4446,  -198, -1155
238,  4453,  -205, -1156
247,  4453,  -215, -1157
258,  4460,  -224, -1158
267,  4469,  -230, -1161
278,  4467,  -235, -1165
288,  4473,  -241, -1172
297,  4478,  -251, -1176
308,  4479,  -262, -1185
317,  4482,  -266, -1192
328,  4479,  -270, -1202
337,  4475,  -272, -1208
347,  4477,  -282, -1216
358,  4483,  -297, -1220
367,  4492,  -292, -1231
378,  4492,  -296, -1236
387,  4496,  -312, -1247
398,  4502,  -317, -1249
408,  4503,  -321, -1252
417,  4502,  -316, -1247
428,  4506,  -327, -1244
437,  4509,  -341, -1248
448,  4517,  -344, -1254
457,  4516,  -353, -1265
467,  4514,  -368, -1275
478,  4516,  -372, -1289
487,  4519,  -378, -1298
498,  4521,  -382, -1301
507,  4524,  -385, -1302
518,  4525,  -392, -1307
527,  4532,  -399, -1314
537,  4530,  -402, -1320
548,  4536,  -402, -1320
557,  4538,  -411, -1324
568,  4542,  -420, -1324
577,  4549,  -426, -1331
588,  4552,  -433, -1339
597,  4553,  -440, -1345
608,  4557,  -446, -1350
617,  4561,  -451, -1353
627,  4558,  -462, -1359
638,  4559,  -470, -1364
647,  4556,  -473, -1374
658,  4558,  -481, -1384
667,  4557,  -488, -1387
676,  4554,  -497, -1397
687,  4553,  -499, -1391
697,  4560,  -505, -1393
708,  4567,  -508, -1403
717,  4570,  -513, -1416
728,  4572,  -518, -1424
737,  4576,  -525, -1430
746,  4580,  -530, -1429
757,  4584,  -531, -1440
767,  4586,  -533, -1444
778,  4585,  -540, -1446
787,  4587,  -545, -1452
798,  4587,  -549, -1462
807,  4589,  -555, -1469
817,  4587,  -556, -1470
828,  4589,  -562, -1472
837,  4589,  -572, -1475
848,  4590,  -574, -1485
857,  4592,  -582, -1489
866,  4594,  -594, -1500
877,  4590,  -595, -1503
887,  4594,  -595, -1511
897,  4597,  -602, -1518
907,  4599,  -609, -1515
916,  4599,  -618, -1522
927,  4600,  -622, -1534
936,  4604,  -621, -1546
947,  4609,  -627, -1551
957,  4612,  -633, -1552
968,  4615,  -637, -1549
977,  4613,  -639, -1554
986,  4613,  -641, -1563
997,  4611,  -636, -1568
1007,  4605,  -636, -1574
1017,  4606,  -638, -1590
1027,  4596,  -662, -1605
1036,  4567,  -639, -1584
1047,  4529,  -509, -1473
1057,  4520,  -390, -1367
1067,  4564,  -437, -1420
1077,  4564,  -612, -1567
1086,  4557,  -669, -1641
1097,  4536,  -658, -1668
1106,  4592,  -706, -1783
1117,  4680,  -797, -1908
1127,  4729,  -814, -1930
1136,  4587,  -673, -1891
1147,  4520,  -630, -1769
1156,  4577,  -603, -1623
1167,  4676,  -532, -1566
1177,  4838,  -536, -1589
1186,  4919,  -572, -1681
1197,  4920,  -644, -1787
1206,  4866,  -666, -1837
1217,  4840,  -681, -1855
1226,  4822,  -718, -1877
1237,  4797,  -714, -1852
1247,  4771,  -687, -1803
1256,  4749,  -655, -1758
1267,  4537,  -531, -1732
1276,  4571,  -534, -1665
1287,  4742,  -560, -1631
1296,  4890,  -592, -1651
1306,  4894,  -588, -1673
1317,  4845,  -605, -1690
1326,  4799,  -618, -1698
1337,  4757,  -606, -1694
1346,  4739,  -599, -1684
1356,  4756,  -582, -1675
1367,  4764,  -592, -1696
1376,  4761,  -651, -1745
1387,  4755,  -687, -1787
1396,  4745,  -711, -1814
1407,  4752,  -719, -1833
1416,  4758,  -711, -1845
1426,  4758,  -721, -1855
1437,  4759,  -725, -1866
1446,  4746,  -725, -1879
1457,  4741,  -756, -1908
1466,  4738,  -762, -1901
1476,  4735,  -733, -1883
1487,  4746,  -715, -1868
1496,  4751,  -704, -1851
1507,  4757,  -693, -1848
1516,  4762,  -710, -1878
1527,  4757,  -722, -1893
1536,  4748,  -731, -1896
1546,  4725,  -742, -1910
1557,  4707,  -750, -1915
1566,  4708,  -760, -1927
1577,  4718,  -777, -1941
1586,  4737,  -767, -1946
1596,  4759,  -744, -1942
1606,  4777,  -750, -1959
1616,  4782,  -744, -1951
1627,  4786,  -742, -1949
1636,  4772,  -757, -1957
1646,  4763,  -755, -1954
1657,  4763,  -764, -1970
1666,  4761,  -778, -1978
1675,  4760,  -781, -1974
1686,  4762,  -787, -1985
1696,  4761,  -774, -1979
1707,  4770,  -770, -1989
1716,  4775,  -783, -2015
1727,  4777,  -778, -2015
1736,  4771,  -770, -2009
1745,  4761,  -767, -2004
1756,  4764,  -743, -1985
1766,  4754,  -737, -1980
1777,  4751,  -739, -1976
1786,  4750,  -724, -1970
1795,  4752,  -728, -1977
1806,  4753,  -742, -2003
1816,  4763,  -758, -2028
1826,  4770,  -790, -2066
1836,  4778,  -819, -2101
1847,  4786,  -839, -2130
1856,  4786,  -818, -2126
1865,  4783,  -801, -2113
1876,  4779,  -788, -2098
1886,  4780,  -770, -2074
1897,  4735,  -798, -1994
