time,accx,accy,accz
8, -3286, -2810, -1856
18, -3277, -2818, -1854
29, -3277, -2806, -1856
38, -3281, -2797, -1860
47, -3289, -2790, -1862
58, -3290, -2804, -1869
68, -3287, -2812, -1867
79, -3281, -2810, -1867
88, -3288, -2803, -1859
97, -3288, -2794, -1845
108, -3288, -2795, -1841
118, -3287, -2796, -1837
129, -3283, -2793, -1838
138, -3282, -2803, -1838
147, -3283, -2801, -1844
158, -3285, -2801, -1858
167, -3286, -2808, -1863
178, -3286, -2810, -1866
188, -3292, -2809, -1873
197, -3288, -2806, -1870
208, -3288, -2810, -1866
217, -3289, -2805, -1862
228, -3288, -2803, -1863
238, -3284, -2803, -1859
247, -3287, -2805, -1855
258, -3283, -2807, -1851
267, -3277, -2805, -1848
278, -3282, -2803, -1847
288, -3279, -2802, -1849
297, -3277, -2804, -1848
308, -3279, -2809, -1851
317, -3279, -2805, -1853
328, -3284, -2802, -1858
337, -3291, -2797, -1858
347, -3292, -2799, -1861
358, -3288, -2808, -1860
367, -3282, -2796, -1865
378, -3284, -2793, -1866
387, -3283, -2803, -1871
398, -3280, -2801, -1868
408, -3281, -2798, -1865
417, -3285, -2786, -1855
428, -3283, -2790, -1846
437, -3283, -2797, -1845
448, -3278, -2794, -1845
457, -3281, -2797, -1851
467, -3286, -2805, -1856
478, -3286, -2804, -1864
487, -3285, -2803, -1868
498, -3286, -2801, -1866
507, -3285, -2797, -1862
518, -3286, -2798, -1861
527, -3281, -2798, -1862
537, -3285, -2796, -1864
548, -3282, -2789, -1857
557, -3282, -2792, -1856
568, -3280, -2795, -1850
577, -3276, -2796, -1851
588, -3275, -2797, -1854
597, -3276, -2797, -1854
608, -3274, -2798, -1854
617, -3272, -2797, -1851
627, -3276, -2802, -1852
638, -3278, -2804, -1852
647, -3283, -2802, -1856
658, -3284, -2804, -1860
667, -3286, -2806, -1858
676, -3291, -2809, -1862
687, -3294, -2806, -1851
697, -3289, -2806, -1847
708, -3283, -2804, -1852
717, -3283, -2804, -1859
728, -3282, -2803, -1861
737, -3280, -2805, -1862
746, -3278, -2805, -1856
757, -3276, -2800, -1862
767, -3275, -2798, -1860
778, -3278, -2799, -1856
787, -3278, -2799, -1857
798, -3280, -2798, -1861
807, -3280, -2799, -1863
817, -3283, -2794, -1859
828, -3283, -2795, -1855
837, -3285, -2801, -1853
848, -3285, -2798, -1857
857, -3285, -2801, -1855
866, -3285, -2808, -1861
877, -3290, -2805, -1859
887, -3287, -2800, -1861
897, -3287, -2802, -1863
907, -3286, -2805, -1854
916, -3287, -2809, -1856
927, -3288, -2808, -1862
936, -3286, -2803, -1868
947, -3282, -2804, -1868
957, -3280, -2806, -1864
968, -3279, -2805, -1855
977, -3282, -2803, -1855
986, -3283, -2801, -1859
997, -3287, -2792, -1858
1007, -3294, -2787, -1858
1017, -3295, -2785, -1869
1027, -3306, -2806, -1878
1036, -3335, -2781, -1852
1047, -3374, -2651, -1733
1057, -3383, -2533, -1620
1067, -3338, -2585, -1671
1077, -3335, -2769, -1819
1086, -3339, -2838, -1893
1097, -3357, -2836, -1914
1106, -3297, -2897, -2024
1117, -3206, -3003, -2148
1127, -3153, -3034, -2166
1136, -3295, -2896, -2120
1147, -3365, -2843, -1989
1156, -3309, -2810, -1826
1167, -3213, -2732, -1752
1177, -3052, -2732, -1761
1186, -2971, -2768, -1846
1197, -2970, -2840, -1950
1206, -3025, -2861, -1996
1217, -3051, -2874, -2008
1226, -3070, -2910, -2024
1237, -3095, -2904, -1991
1247, -3123, -2875, -1932
1256, -3145, -2841, -1878
1267, -3359, -2712, -1840
1276, -3330, -2699, -1754
1287, -3160, -2719, -1703
1296, -3013, -2747, -1711
1306, -3011, -2738, -1726
1317, -3061, -2748, -1738
1326, -3109, -2755, -1741
1337, -3153, -2737, -1732
1346, -3171, -2727, -1716
1356, -3156, -2708, -1703
1367, -3148, -2714, -1720
1376, -3152, -2769, -1767
1387, -3159, -2803, -1807
1396, -3169, -2824, -1832
1407, -3164, -2829, -1848
1416, -3158, -2818, -1856
1426, -3160, -2823, -1863
1437, -3160, -2824, -1870
1446, -3173, -2820, -1879
1457, -3179, -2848, -1905
1466, -3184, -2851, -1894
1476, -3187, -2820, -1870
1487, -3176, -2798, -1850
1496, -3172, -2784, -1828
1507, -3167, -2769, -1821
1516, -3163, -2783, -1847
1527, -3170, -2791, -1858
1536, -3180, -2796, -1858
1546, -3203, -2805, -1868
1557, -3221, -2810, -1869
1566, -3220, -2820, -1878
1577, -3210, -2839, -1887
1586, -3190, -2831, -1888
1596, -3169, -2807, -1880
1606, -3151, -2812, -1892
1616, -3146, -2804, -1879
1627, -3144, -2799, -1873
1636, -3158, -2811, -1877
1646, -3168, -2806, -1869
1657, -3168, -2813, -1882
1666, -3170, -2824, -1885
1675, -3172, -2825, -1877
1686, -3170, -2829, -1883
1696, -3172, -2814, -1873
1707, -3164, -2808, -1879
1716, -3160, -2819, -1900
1727, -3158, -2811, -1896
1736, -3164, -2801, -1886
1745, -3175, -2795, -1877
1756, -3172, -2769, -1853
1766, -3182, -2760, -1844
1777, -3186, -2762, -1836
1786, -3187, -2746, -1827
1795, -3185, -2751, -1832
1806, -3183, -2767, -1856
1816, -3173, -2785, -1879
1826, -3165, -2819, -1915
1836, -3157, -2851, -1949
1847, -3148, -2873, -1977
1856, -3148, -2854, -1970
