time,gyrx,gyry,gyrz
8,   -14,   -14,     8
18,   -14,   -14,     8
29,   -14,   -14,     8
38,   -14,   -14,     9
47,   -14,   -14,     8
58,   -14,   -14,     8
68,   -14,   -14,     8
79,   -14,   -14,     8
88,   -14,   -14,     8
97,   -14,   -14,     8
108,   -14,   -14,     8
118,   -14,   -14,     8
129,   -14,   -14,     8
138,   -14,   -14,     8
147,   -14,   -14,     8
158,   -14,   -14,     8
167,   -14,   -14,     8
178,   -14,   -14,     8
188,   -14,   -14,     8
197,   -14,   -14,     8
208,   -14,   -14,     8
217,   -14,   -14,     8
228,   -14,   -14,     8
238,   -14,   -14,     8
247,   -14,   -14,     8
258,   -14,   -14,     8
267,   -14,   -14,     8
278,   -14,   -14,     8
288,   -14,   -14,     8
297,   -14,   -14,     8
308,   -14,   -14,     8
317,   -14,   -14,     8
328,   -14,   -14,     8
337,   -14,   -14,     8
347,   -14,   -14,     8
358,   -14,   -14,     8
367,   -14,   -14,     8
378,   -14,   -14,     8
387,   -14,   -14,     8
398,   -14,   -14,     8
408,   -14,   -14,     8
417,   -14,   -14,     8
428,   -14,   -14,     8
437,   -14,   -14,     8
448,   -14,   -14,     8
457,   -14,   -14,     8
467,   -14,   -14,     8
478,   -14,   -14,     8
487,   -14,   -14,     8
498,   -14,   -14,     8
507,   -14,   -14,     8
518,   -14,   -14,     8
527,   -14,   -14,     8
537,   -14,   -14,     8
548,   -14,   -14,     8
557,   -14,   -14,     8
568,   -14,   -14,     8
577,   -14,   -14,     8
588,   -14,   -14,     8
597,   -14,   -14,     8
608,   -14,   -14,     8
617,   -14,   -14,     8
627,   -14,   -14,     8
638,   -14,   -14,     8
647,   -14,   -14,     8
658,   -14,   -14,     8
667,   -14,   -14,     8
676,   -14,   -14,     8
687,   -14,   -14,     8
697,   -14,   -14,     8
708,   -14,   -14,     8
717,   -14,   -14,     8
728,   -14,   -14,     8
737,   -14,   -14,     8
746,   -14,   -14,     8
757,   -14,   -14,     8
767,   -14,   -14,     8
778,   -14,   -14,     8
787,   -14,   -14,     8
798,   -14,   -14,     8
807,   -14,   -14,     8
817,   -14,   -14,     8
828,   -14,   -14,     8
837,   -14,   -14,     8
848,   -14,   -14,     8
857,   -14,   -14,     8
866,   -14,   -14,     8
877,   -14,   -14,     8
887,   -14,   -14,     8
897,   -14,   -14,     8
907,   -14,   -14,     8
916,   -14,   -14,     8
927,   -14,   -14,     8
936,   -14,   -14,     8
947,   -14,   -14,     8
957,   -14,   -14,     8
968,   -14,   -14,     8
977,   -14,   -14,     8
986,   -14,   -14,     8
997,   -14,   -14,     8
1007,   -14,   -14,     8
1017,   -13,   -14,     8
1027,   -13,   -14,     8
1036,   -13,   -14,     7
1047,   -15,   -14,     5
1057,   -20,   -14,     2
1067,   -25,   -14,     2
1077,   -23,   -14,     2
1086,   -19,   -14,     1
1097,   -17,   -16,     1
1106,   -16,   -15,     0
1117,   -12,   -14,     0
1127,    -7,   -14,     2
1136,    -6,   -14,     6
1147,    -9,   -15,    10
1156,   -11,   -18,     9
1167,   -14,   -19,     9
1177,   -16,   -17,     8
1186,   -16,   -16,     7
1197,   -14,   -14,     7
1206,   -11,   -14,     8
1217,    -9,   -14,     8
1226,    -7,   -14,     8
1237,    -5,   -14,     8
1247,    -6,   -14,     8
1256,    -7,   -14,     7
1267,    -8,   -16,     9
1276,   -12,   -20,    12
1287,   -13,   -18,     9
1296,   -14,   -16,     9
1306,   -14,   -14,    10
1317,   -14,   -14,    10
1326,   -14,   -14,    10
1337,   -15,   -14,     9
1346,   -16,   -14,     8
1356,   -17,   -14,     8
1367,   -19,   -14,     8
1376,   -18,   -14,     9
1387,   -17,   -14,     9
1396,   -17,   -14,     9
1407,   -16,   -14,     9
1416,   -16,   -14,     9
1426,   -15,   -14,     9
1437,   -15,   -14,     9
1446,   -15,   -14,     9
1457,   -14,   -14,     9
1466,   -13,   -14,     9
1476,   -13,   -14,     8
1487,   -14,   -14,     8
1496,   -15,   -14,     9
1507,   -15,   -14,     9
1516,   -15,   -14,     9
1527,   -15,   -14,     9
1536,   -15,   -14,     9
1546,   -15,   -14,     8
1557,   -15,   -14,     8
1566,   -15,   -14,     7
1577,   -14,   -14,     7
