time,accx,accy,accz
8,  -516,   822,   844
18,  -514,   821,   838
27,  -517,   826,   852
38,  -513,   823,   846
47,  -511,   824,   849
58,  -509,   823,   845
68,  -509,   823,   844
77,  -509,   822,   844
88,  -513,   826,   844
97,  -515,   822,   849
108,  -513,   823,   851
117,  -513,   823,   847
127,  -516,   823,   848
138,  -520,   823,   840
147,  -519,   819,   839
158,  -521,   822,   833
167,  -522,   820,   833
177,  -520,   825,   843
188,  -516,   832,   848
197,  -517,   833,   852
208,  -518,   834,   855
217,  -513,   834,   849
227,  -511,   835,   848
238,  -511,   831,   842
247,  -516,   830,   839
258,  -515,   828,   838
267,  -514,   829,   838
278,  -515,   828,   837
287,  -514,   829,   836
297,  -509,   829,   840
308,  -509,   832,   842
317,  -507,   834,   842
328,  -508,   837,   842
337,  -510,   835,   838
347,  -514,   833,   841
357,  -508,   833,   835
367,  -513,   833,   841
378,  -510,   833,   841
387,  -506,   834,   848
398,  -511,   829,   845
407,  -514,   820,   847
416,  -517,   822,   855
427,  -518,   822,   858
437,  -520,   821,   850
448,  -518,   824,   842
457,  -514,   821,   839
468,  -512,   822,   841
477,  -511,   829,   848
486,  -513,   829,   845
497,  -512,   831,   839
507,  -512,   829,   843
518,  -515,   826,   842
527,  -515,   824,   844
536,  -519,   823,   848
548,  -518,   823,   851
557,  -520,   823,   851
566,  -521,   822,   850
577,  -517,   824,   852
587,  -518,   825,   847
598,  -516,   827,   848
607,  -514,   826,   845
616,  -512,   830,   843
627,  -516,   832,   844
637,  -515,   832,   849
648,  -513,   831,   848
657,  -517,   834,   845
666,  -514,   834,   843
677,  -513,   832,   838
686,  -511,   833,   842
697,  -519,   834,   848
707,  -518,   831,   847
718,  -514,   830,   837
727,  -519,   828,   836
736,  -524,   823,   837
747,  -524,   823,   843
756,  -523,   825,   838
767,  -519,   822,   844
777,  -516,   822,   841
788,  -510,   829,   843
797,  -509,   827,   841
806,  -510,   821,   840
817,  -511,   821,   842
826,  -514,   822,   847
837,  -520,   825,   847
847,  -503,   829,   797
856,  -486,   874,   744
867,  -514,   983,   819
876,  -633,  1067,   847
887,  -692,  1154,   816
896,  -690,  1256,   821
907,  -652,  1334,   821
917,  -589,  1335,   806
926,  -538,  1308,   772
937,  -544,  1283,   741
946,  -577,  1244,   704
957,  -605,  1166,   669
966,  -527,   997,   623
977,  -256,   564,   509
987,   -18,    36,   441
996,  -143,  -245,   462
1007,  -515,  -303,   510
1016,  -840,  -197,   562
1027,  -970,    36,   593
1036,  -942,   295,   616
1046,  -867,   470,   626
1057,  -799,   524,   626
1066,  -728,   494,   649
1077,  -620,   463,   664
1086,  -515,   482,   647
1097,  -432,   564,   636
1106,  -405,   643,   632
1116,  -397,   691,   640
1127,  -393,   736,   660
1136,  -399,   799,   664
1147,  -428,   825,   682
1156,  -481,   806,   700
1166,  -528,   799,   718
1176,  -541,   804,   740
1186,  -523,   829,   751
1197,  -530,   843,   752
1206,  -510,   794,   725
1217,  -510,   651,   727
1226,  -575,   485,   734
1236,  -602,   426,   730
1247,  -648,   491,   765
1256,  -717,   641,   818
1267,  -704,   819,   850
1276,  -622,   970,   842
1287,  -508,  1078,   799
1296,  -424,   991,   755
1306,  -357,   796,   725
1317,  -266,   529,   688
1326,  -163,    90,   674
1337,  -103,  -386,   761
1346,  -173,  -744,   998
1356,  -328,  -955,  1317
1367,  -456, -1002,  1601
1376,  -534,  -964,  1805
1387,  -556,  -896,  1915
1396,  -546,  -854,  1964
1405,  -513,  -848,  1952
1416,  -465,  -858,  1862
1426,  -416,  -881,  1722
1437,  -331,  -828,  1560
1446,  -250,  -741,  1340
1455,  -157,  -636,  1059
1466,   -40,  -534,   740
1475,    45,  -476,   448
1486,   121,  -414,   232
1496,   162,  -359,   126
1507,   141,  -269,   116
1516,    84,  -141,   160
1525,    -2,   -55,   223
1536,   -99,     1,   299
1546,  -189,    57,   325
1557,  -229,   134,   251
1566,  -236,   228,    72
1577,  -192,   312,  -183
1586,  -143,   355,  -436
1595,  -105,   325,  -668
1606,   -59,   291,  -876
1616,   -27,   262,  -988
1625,   -62,   274,  -991
1636,  -169,   297,  -902
1645,  -337,   336,  -683
1656,  -524,   457,  -431
1666,  -679,   604,  -283
1675,  -732,   719,  -291
1686,  -699,   797,  -385
1695,  -631,   838,  -504
1706,  -554,   800,  -590
1716,  -431,   717,  -702
1725,  -330,   670,  -751
1736,  -222,   765,  -777
1745,  -131,   937,  -801
1756,   -94,  1037,  -796
1765,   -36,  1062,  -737
1776,   -38,  1048,  -580
1786,  -113,  1056,  -353
1795,  -114,  1116,   -95
1806,   -92,  1227,    59
1815,   -76,  1418,   193
1826,   -89,  1577,   349
1835,  -133,  1605,   513
1846,  -175,  1565,   653
1856,  -194,  1542,   680
1865,  -123,  1555,   506
1876,    82,  1568,   165
1885,   336,  1541,  -238
1896,   574,  1551,  -542
1905,   714,  1698,  -669
1916,   709,  1958,  -590
1926,   617,  2241,  -339
1935,   439,  2467,   -15
1946,   258,  2604,   313
1955,   100,  2645,   582
1966,     3,  2639,   702
1976,    10,  2612,   642
1985,    85,  2652,   428
1996,   199,  2767,   190
2005,   283,  2929,    35
2016,   305,  3116,    56
2026,   253,  3322,   222
2035,   130,  3428,   430
2046,    21,  3437,   639
2055,   -71,  3361,   765
