time,qw,qx,qy,qz
8,0.62537,0.08325,0.40649,0.66077
18,0.62537,0.08325,0.40656,0.66077
27,0.62537,0.08325,0.40649,0.66077
38,0.62543,0.08325,0.40649,0.66077
47,0.62543,0.08325,0.40649,0.66077
58,0.62543,0.08325,0.40649,0.66077
68,0.62543,0.08325,0.40649,0.66077
77,0.62543,0.08325,0.40649,0.66077
88,0.62537,0.08325,0.40649,0.66077
97,0.62543,0.08319,0.40649,0.66077
108,0.62537,0.08319,0.40643,0.66077
117,0.62537,0.08319,0.40643,0.66083
127,0.62537,0.08313,0.40643,0.66083
138,0.62537,0.08313,0.40643,0.66083
147,0.62537,0.08313,0.40643,0.66083
158,0.62537,0.08313,0.40649,0.66077
167,0.62537,0.08319,0.40649,0.66077
177,0.62537,0.08319,0.40649,0.66077
188,0.62537,0.08319,0.40649,0.66077
197,0.62537,0.08319,0.40649,0.66077
208,0.62537,0.08319,0.40649,0.66077
217,0.62537,0.08319,0.40649,0.66077
227,0.62537,0.08319,0.40656,0.66077
238,0.62537,0.08319,0.40656,0.66077
247,0.62537,0.08319,0.40656,0.66077
258,0.62537,0.08319,0.40656,0.66077
267,0.62537,0.08319,0.40656,0.66077
278,0.62537,0.08325,0.40656,0.66077
287,0.62537,0.08325,0.40662,0.66077
297,0.62537,0.08325,0.40656,0.66077
308,0.62537,0.08325,0.40656,0.66077
317,0.62537,0.08325,0.40656,0.66077
328,0.62537,0.08325,0.40656,0.66077
337,0.62537,0.08325,0.40656,0.66077
347,0.62531,0.08325,0.40656,0.66077
357,0.62531,0.08319,0.40656,0.66077
367,0.62531,0.08319,0.40656,0.66083
378,0.62531,0.08313,0.40649,0.66083
387,0.62531,0.08313,0.40649,0.66083
398,0.62531,0.08313,0.40649,0.66083
407,0.62537,0.08313,0.40649,0.66083
416,0.62537,0.08313,0.40649,0.66083
427,0.62537,0.08313,0.40649,0.66083
437,0.62537,0.08313,0.40649,0.66083
448,0.62537,0.08313,0.40649,0.66083
457,0.62537,0.08313,0.40649,0.66083
468,0.62537,0.08313,0.40649,0.66083
477,0.62537,0.08313,0.40649,0.66083
486,0.62537,0.08313,0.40649,0.66083
497,0.62537,0.08313,0.40649,0.66083
507,0.62537,0.08313,0.40649,0.66083
518,0.62531,0.08313,0.40649,0.66083
527,0.62531,0.08313,0.40649,0.66083
536,0.62531,0.08313,0.40649,0.66083
548,0.62531,0.08313,0.40649,0.66083
557,0.62531,0.08319,0.40649,0.66083
566,0.62531,0.08319,0.40656,0.66083
577,0.62531,0.08319,0.40656,0.66077
587,0.62531,0.08325,0.40656,0.66077
598,0.62531,0.08325,0.40662,0.66077
607,0.62531,0.08325,0.40662,0.66077
616,0.62531,0.08331,0.40662,0.66077
627,0.62531,0.08331,0.40662,0.66077
637,0.62531,0.08331,0.40662,0.66077
648,0.62531,0.08331,0.40662,0.66077
657,0.62531,0.08331,0.40662,0.66077
666,0.62531,0.08331,0.40662,0.66077
677,0.62531,0.08331,0.40662,0.66077
686,0.62531,0.08331,0.40662,0.66077
697,0.62531,0.08331,0.40662,0.66077
707,0.62531,0.08331,0.40662,0.66077
718,0.62531,0.08325,0.40662,0.66077
727,0.62531,0.08325,0.40662,0.66077
736,0.62531,0.08325,0.40662,0.66077
747,0.62531,0.08325,0.40662,0.66077
756,0.62531,0.08325,0.40662,0.66077
767,0.62531,0.08325,0.40662,0.66077
777,0.62531,0.08319,0.40662,0.66077
788,0.62531,0.08319,0.40662,0.66077
797,0.62531,0.08319,0.40656,0.66077
806,0.62531,0.08319,0.40656,0.66083
817,0.62531,0.08319,0.40656,0.66083
826,0.62531,0.08313,0.40656,0.66083
837,0.62531,0.08313,0.40656,0.66083
847,0.62531,0.08313,0.40656,0.66083
856,0.62524,0.08313,0.40662,0.66083
867,0.62518,0.08307,0.40662,0.66089
876,0.62524,0.08276,0.40631,0.66107
887,0.62543,0.08246,0.40582,0.66125
896,0.62567,0.08209,0.40491,0.66162
907,0.62604,0.08154,0.40356,0.66217
917,0.62634,0.08075,0.40192,0.66296
926,0.62653,0.07977,0.40002,0.66406
937,0.62646,0.07867,0.39801,0.66541
946,0.62622,0.07751,0.39587,0.66711
957,0.62567,0.07648,0.39349,0.66913
966,0.62476,0.07556,0.39105,0.67157
977,0.62341,0.07471,0.38861,0.67432
987,0.62183,0.07349,0.38666,0.67694
996,0.62048,0.07172,0.38586,0.67883
1007,0.61951,0.07019,0.38611,0.67975
1016,0.61932,0.06952,0.38684,0.67963
1027,0.61975,0.06964,0.38776,0.67871
1036,0.62030,0.07037,0.38837,0.67773
1046,0.62067,0.07135,0.38873,0.67706
1057,0.62097,0.07233,0.38892,0.67664
1066,0.62122,0.07324,0.38898,0.67627
1077,0.62140,0.07416,0.38904,0.67590
1086,0.62146,0.07513,0.38940,0.67554
1097,0.62146,0.07605,0.39001,0.67511
1106,0.62134,0.07678,0.39069,0.67474
1116,0.62122,0.07727,0.39142,0.67444
1127,0.62097,0.07758,0.39209,0.67413
1136,0.62073,0.07776,0.39276,0.67401
1147,0.62030,0.07782,0.39337,0.67401
1156,0.61981,0.07776,0.39392,0.67413
1166,0.61938,0.07764,0.39441,0.67432
1176,0.61902,0.07745,0.39478,0.67444
1186,0.61865,0.07727,0.39496,0.67468
1197,0.61823,0.07721,0.39484,0.67511
1206,0.61786,0.07727,0.39447,0.67572
1217,0.61755,0.07739,0.39404,0.67621
1226,0.61755,0.07739,0.39362,0.67645
1236,0.61792,0.07745,0.39343,0.67621
1247,0.61829,0.07764,0.39325,0.67596
1256,0.61877,0.07770,0.39270,0.67584
1267,0.61926,0.07758,0.39136,0.67621
1276,0.61963,0.07709,0.38928,0.67712
1287,0.61981,0.07623,0.38684,0.67841
1296,0.61975,0.07501,0.38422,0.68011
1306,0.61981,0.07343,0.38153,0.68170
1317,0.61987,0.07159,0.37909,0.68323
1326,0.62006,0.06976,0.37701,0.68445
1337,0.62030,0.06799,0.37543,0.68518
1346,0.62079,0.06641,0.37463,0.68542
1356,0.62140,0.06525,0.37421,0.68518
1367,0.62219,0.06464,0.37390,0.68463
1376,0.62317,0.06451,0.37341,0.68408
1387,0.62439,0.06458,0.37250,0.68341
1396,0.62598,0.06439,0.37091,0.68286
1405,0.62805,0.06378,0.36859,0.68231
1416,0.63049,0.06293,0.36578,0.68164
1426,0.63330,0.06201,0.36273,0.68073
1437,0.63629,0.06134,0.35974,0.67957
1446,0.63934,0.06122,0.35706,0.67816
1455,0.64227,0.06177,0.35492,0.67645
1466,0.64496,0.06281,0.35345,0.67456
1475,0.64734,0.06403,0.35272,0.67255
1486,0.64948,0.06519,0.35260,0.67041
1496,0.65155,0.06604,0.35284,0.66821
1507,0.65363,0.06653,0.35315,0.66602
1516,0.65570,0.06671,0.35345,0.66376
1525,0.65796,0.06659,0.35345,0.66150
1536,0.66040,0.06628,0.35309,0.65930
1546,0.66309,0.06580,0.35223,0.65717
1557,0.66595,0.06519,0.35095,0.65497
1566,0.66882,0.06445,0.34949,0.65283
1577,0.67163,0.06366,0.34821,0.65076
1586,0.67413,0.06299,0.34747,0.64862
1595,0.67639,0.06256,0.34735,0.64636
1606,0.67853,0.06213,0.34790,0.64392
1616,0.68042,0.06158,0.34894,0.64142
1625,0.68225,0.06067,0.35016,0.63885
1636,0.68420,0.05939,0.35144,0.63617
1645,0.68628,0.05792,0.35266,0.63342
1656,0.68854,0.05640,0.35358,0.63055
1666,0.69086,0.05505,0.35425,0.62775
1675,0.69324,0.05377,0.35443,0.62512
1686,0.69556,0.05225,0.35443,0.62268
1695,0.69781,0.05017,0.35406,0.62054
1706,0.70013,0.04761,0.35339,0.61847
1716,0.70264,0.04480,0.35272,0.61627
1725,0.70526,0.04193,0.35223,0.61377
1736,0.70789,0.03943,0.35217,0.61096
1745,0.71014,0.03741,0.35291,0.60797
1756,0.71204,0.03607,0.35437,0.60498
1765,0.71375,0.03534,0.35651,0.60175
1776,0.71533,0.03516,0.35907,0.59839
1786,0.71698,0.03522,0.36157,0.59485
1795,0.71887,0.03516,0.36346,0.59143
1806,0.72089,0.03467,0.36481,0.58813
1815,0.72296,0.03363,0.36591,0.58502
1826,0.72498,0.03210,0.36664,0.58209
1835,0.72705,0.03027,0.36694,0.57941
1846,0.72937,0.02844,0.36676,0.57672
1856,0.73193,0.02692,0.36615,0.57391
1865,0.73468,0.02563,0.36517,0.57111
1876,0.73737,0.02435,0.36389,0.56848
1885,0.73993,0.02258,0.36273,0.56592
1896,0.74231,0.02032,0.36230,0.56323
1905,0.74432,0.01794,0.36285,0.56024
1916,0.74597,0.01593,0.36444,0.55713
1926,0.74719,0.01447,0.36658,0.55414
1935,0.74817,0.01355,0.36890,0.55127
1946,0.74908,0.01312,0.37091,0.54865
1955,0.75024,0.01294,0.37225,0.54614
1966,0.75171,0.01288,0.37274,0.54382
1976,0.75336,0.01257,0.37256,0.54163
1985,0.75513,0.01202,0.37219,0.53943
1996,0.75665,0.01111,0.37225,0.53729
2005,0.75775,0.01007,0.37299,0.53522
2016,0.75848,0.00909,0.37439,0.53326
2026,0.75891,0.00836,0.37610,0.53143
2035,0.75928,0.00800,0.37756,0.52985
2046,0.75970,0.00793,0.37860,0.52850
2055,0.76031,0.00830,0.37897,0.52734
2066,0.76123,0.00891,0.37866,0.52625
2075,0.76239,0.00952,0.37781,0.52521
2085,0.76343,0.00995,0.37689,0.52429
2096,0.76416,0.01007,0.37634,0.52362
2105,0.76447,0.00989,0.37622,0.52332
2116,0.76440,0.00958,0.37653,0.52313
2125,0.76422,0.00922,0.37726,0.52289
2136,0.76410,0.00897,0.37817,0.52246
2145,0.76422,0.00909,0.37866,0.52197
2155,0.76453,0.00946,0.37854,0.52161
2166,0.76489,0.00983,0.37793,0.52142
2175,0.76532,0.01007,0.37701,0.52148
2186,0.76562,0.01007,0.37616,0.52167
2195,0.76569,0.00983,0.37579,0.52185
2205,0.76532,0.00940,0.37616,0.52209
2216,0.76459,0.00897,0.37714,0.52252
2225,0.76355,0.00854,0.37805,0.52332
2236,0.76245,0.00800,0.37872,0.52448
2245,0.76123,0.00732,0.37903,0.52600
2255,0.76001,0.00647,0.37903,0.52777
2266,0.75879,0.00549,0.37903,0.52954
2275,0.75763,0.00439,0.37885,0.53137
2286,0.75653,0.00330,0.37854,0.53320
2295,0.75562,0.00232,0.37781,0.53497
2305,0.75470,0.00177,0.37677,0.53699
2315,0.75360,0.00146,0.37561,0.53937
2325,0.75220,0.00110,0.37476,0.54193
2336,0.75055,0.00049,0.37433,0.54443
2345,0.74884,-0.00031,0.37439,0.54681
2354,0.74707,-0.00110,0.37476,0.54895
2365,0.74530,-0.00195,0.37531,0.55096
2375,0.74359,-0.00262,0.37598,0.55280
2386,0.74194,-0.00293,0.37677,0.55450
2395,0.74030,-0.00293,0.37756,0.55615
2406,0.73865,-0.00238,0.37830,0.55780
2415,0.73718,-0.00116,0.37903,0.55933
2425,0.73572,0.00079,0.37964,0.56079
2435,0.73425,0.00330,0.38025,0.56226
2445,0.73273,0.00592,0.38098,0.56378
2456,0.73102,0.00842,0.38190,0.56531
2465,0.72925,0.01068,0.38293,0.56683
2474,0.72736,0.01257,0.38403,0.56848
2485,0.72552,0.01404,0.38483,0.57031
2495,0.72363,0.01532,0.38538,0.57233
2506,0.72162,0.01654,0.38574,0.57452
2515,0.71948,0.01782,0.38617,0.57690
2524,0.71716,0.01917,0.38684,0.57928
2535,0.71472,0.02069,0.38776,0.58160
2544,0.71228,0.02258,0.38885,0.58380
2555,0.70972,0.02478,0.39008,0.58600
2565,0.70703,0.02716,0.39130,0.58832
2576,0.70422,0.02966,0.39246,0.59082
2585,0.70129,0.03198,0.39362,0.59338
2594,0.69824,0.03394,0.39471,0.59619
2605,0.69513,0.03558,0.39569,0.59906
2615,0.69196,0.03717,0.39661,0.60205
2626,0.68872,0.03864,0.39740,0.60510
2635,0.68530,0.04010,0.39819,0.60834
2644,0.68182,0.04163,0.39893,0.61169
2655,0.67804,0.04303,0.39966,0.61523
2665,0.67413,0.04401,0.40051,0.61896
