time,accx,accy,accz
8, -3780,  6076,  6215
18, -3779,  6076,  6208
27, -3781,  6080,  6223
38, -3778,  6077,  6217
47, -3776,  6078,  6220
58, -3774,  6077,  6216
68, -3774,  6077,  6215
77, -3774,  6076,  6215
88, -3777,  6080,  6215
97, -3780,  6076,  6220
108, -3777,  6076,  6222
117, -3777,  6076,  6219
127, -3781,  6076,  6220
138, -3785,  6076,  6212
147, -3784,  6072,  6211
158, -3786,  6075,  6204
167, -3787,  6074,  6204
177, -3785,  6079,  6214
188, -3781,  6086,  6219
197, -3782,  6087,  6223
208, -3783,  6088,  6226
217, -3778,  6088,  6220
227, -3776,  6089,  6218
238, -3776,  6085,  6212
247, -3781,  6084,  6209
258, -3780,  6082,  6208
267, -3779,  6083,  6208
278, -3780,  6083,  6207
287, -3779,  6085,  6206
297, -3774,  6084,  6210
308, -3774,  6087,  6212
317, -3772,  6089,  6212
328, -3773,  6092,  6212
337, -3775,  6090,  6208
347, -3778,  6088,  6211
357, -3773,  6087,  6205
367, -3778,  6088,  6211
378, -3775,  6086,  6212
387, -3771,  6087,  6219
398, -3776,  6082,  6216
407, -3779,  6073,  6218
416, -3782,  6075,  6226
427, -3783,  6075,  6229
437, -3785,  6074,  6221
448, -3783,  6077,  6213
457, -3779,  6074,  6210
468, -3777,  6075,  6212
477, -3776,  6082,  6219
486, -3778,  6082,  6216
497, -3777,  6084,  6210
507, -3777,  6082,  6214
518, -3780,  6079,  6213
527, -3780,  6077,  6215
536, -3784,  6076,  6219
548, -3783,  6076,  6222
557, -3784,  6077,  6222
566, -3786,  6077,  6220
577, -3782,  6078,  6222
587, -3782,  6080,  6217
598, -3781,  6082,  6217
607, -3779,  6081,  6214
616, -3776,  6086,  6212
627, -3780,  6088,  6213
637, -3779,  6088,  6218
648, -3777,  6087,  6217
657, -3781,  6090,  6214
666, -3778,  6090,  6212
677, -3777,  6088,  6207
686, -3775,  6089,  6211
697, -3783,  6090,  6217
707, -3782,  6087,  6216
718, -3779,  6085,  6206
727, -3784,  6083,  6205
736, -3789,  6078,  6206
747, -3789,  6078,  6212
756, -3788,  6080,  6207
767, -3784,  6077,  6213
777, -3782,  6077,  6210
788, -3776,  6084,  6212
797, -3774,  6081,  6211
806, -3775,  6076,  6210
817, -3776,  6076,  6212
826, -3780,  6076,  6217
837, -3786,  6079,  6217
847, -3769,  6083,  6167
856, -3752,  6129,  6113
867, -3780,  6237,  6188
876, -3899,  6316,  6222
887, -3958,  6396,  6198
896, -3951,  6487,  6216
907, -3907,  6549,  6235
917, -3837,  6530,  6244
926, -3777,  6480,  6238
937, -3772,  6430,  6235
946, -3792,  6367,  6230
957, -3801,  6264,  6228
966, -3699,  6074,  6216
977, -3400,  5621,  6135
987, -3143,  5074,  6094
996, -3269,  4775,  6130
1007, -3653,  4709,  6178
1016, -3992,  4815,  6223
1027, -4133,  5055,  6242
1036, -4108,  5323,  6255
1046, -4029,  5508,  6258
1057, -3955,  5572,  6254
1066, -3876,  5550,  6274
1077, -3760,  5527,  6285
1086, -3649,  5557,  6261
1097, -3562,  5653,  6241
1106, -3534,  5744,  6226
1116, -3528,  5803,  6224
1127, -3526,  5856,  6234
1136, -3535,  5928,  6229
1147, -3567,  5960,  6239
1156, -3623,  5947,  6250
1166, -3673,  5945,  6262
1176, -3689,  5952,  6280
1186, -3673,  5979,  6289
1197, -3676,  5993,  6291
1206, -3648,  5944,  6270
1217, -3640,  5800,  6277
1226, -3700,  5631,  6289
1236, -3728,  5569,  6287
1247, -3772,  5633,  6324
1256, -3838,  5778,  6384
1267, -3816,  5942,  6434
1276, -3719,  6072,  6454
1287, -3590,  6152,  6443
1296, -3490,  6034,  6436
1306, -3412,  5803,  6443
1317, -3315,  5500,  6441
1326, -3211,  5027,  6457
1337, -3156,  4519,  6567
1346, -3238,  4138,  6818
1356, -3406,  3910,  7145
1367, -3543,  3850,  7433
1376, -3624,  3879,  7644
1387, -3644,  3935,  7764
1396, -3630,  3956,  7833
1405, -3593,  3928,  7851
1416, -3541,  3877,  7797
1426, -3489,  3807,  7695
1437, -3399,  3816,  7569
1446, -3310,  3867,  7381
1455, -3208,  3947,  7124
1466, -3081,  4036,  6820
1475, -2990,  4089,  6534
1486, -2915,  4152,  6317
1496, -2881,  4208,  6206
1507, -2914,  4297,  6192
1516, -2987,  4419,  6232
1525, -3091,  4493,  6295
1536, -3204,  4533,  6376
1546, -3308,  4565,  6413
1557, -3359,  4612,  6355
1566, -3377,  4673,  6194
1577, -3345,  4726,  5955
1586, -3312,  4744,  5711
1595, -3292,  4697,  5481
1606, -3272,  4653,  5269
1616, -3270,  4616,  5146
1625, -3342,  4618,  5130
1636, -3490,  4626,  5207
1645, -3702,  4648,  5415
1656, -3931,  4747,  5659
1666, -4123,  4871,  5802
1675, -4207,  4960,  5794
1686, -4206,  5009,  5703
1695, -4169,  5012,  5592
1706, -4126,  4928,  5517
1716, -4040,  4795,  5417
1725, -3979,  4697,  5378
1736, -3912,  4748,  5357
1745, -3865,  4888,  5326
1756, -3871,  4971,  5316
1765, -3857,  4991,  5351
1776, -3902,  4981,  5478
1786, -4018,  4994,  5675
1795, -4055,  5053,  5911
1806, -4067,  5152,  6050
1815, -4088,  5324,  6173
1826, -4138,  5455,  6321
1835, -4217,  5450,  6483
1846, -4290,  5371,  6628
1856, -4332,  5308,  6663
1865, -4279,  5281,  6502
1876, -4087,  5252,  6177
1885, -3852,  5179,  5788
1896, -3644,  5142,  5492
1905, -3546,  5248,  5359
1916, -3599,  5480,  5421
1926, -3739,  5747,  5647
1935, -3960,  5965,  5943
1946, -4176,  6100,  6248
1955, -4359,  6135,  6500
1966, -4472,  6119,  6615
1976, -4476,  6074,  6557
1985, -4413,  6091,  6347
1996, -4318,  6182,  6109
2005, -4259,  6325,  5945
2016, -4268,  6501,  5950
2026, -4350,  6701,  6095
2035, -4497,  6806,  6285
2046, -4622,  6815,  6481
2055, -4721,  6739,  6602
2066, -4739,  6599,  6648
2075, -4660,  6546,  6527
2085, -4529,  6563,  6236
2096, -4358,  6601,  5914
2105, -4218,  6598,  5667
2116, -4157,  6408,  5579
2125, -4164,  6176,  5758
2136, -4265,  6065,  6079
2145, -4346,  6084,  6380
2155, -4307,  6198,  6519
2166, -4203,  6291,  6459
2175, -4052,  6337,  6267
2186, -3860,  6296,  5980
2195, -3620,  6256,  5716
2205, -3433,  6350,  5622
2216, -3305,  6544,  5683
2225, -3205,  6729,  5853
2236, -3145,  6876,  6019
2245, -3150,  6884,  6118
2255, -3190,  6755,  6164
2266, -3290,  6510,  6165
2275, -3420,  6234,  6200
2286, -3577,  5953,  6275
2295, -3687,  5839,  6356
2305, -3693,  5895,  6334
2315, -3608,  5932,  6164
2325, -3452,  5843,  5982
2336, -3312,  5663,  5901
2345, -3303,  5464,  5983
2354, -3354,  5313,  6191
2365, -3468,  5192,  6458
2375, -3601,  5145,  6705
2386, -3728,  5154,  6906
2395, -3899,  5166,  7081
2406, -4046,  5197,  7259
2415, -4158,  5255,  7366
2425, -4204,  5331,  7354
2435, -4171,  5424,  7232
2445, -4097,  5532,  7033
2456, -4001,  5594,  6837
2465, -3918,  5690,  6701
2474, -3912,  5805,  6640
2485, -3905,  5933,  6621
2495, -3879,  6060,  6553
2506, -3850,  6121,  6428
2515, -3811,  6049,  6314
2524, -3806,  5900,  6249
2535, -3831,  5750,  6251
2544, -3862,  5658,  6271
2555, -3890,  5663,  6280
2565, -3881,  5744,  6219
2576, -3840,  5808,  6076
2585, -3780,  5858,  5915
2594, -3755,  5911,  5779
2605, -3754,  5987,  5688
2615, -3784,  6063,  5633
2626, -3813,  6168,  5650
2635, -3837,  6275,  5666
2644, -3831,  6332,  5633
2655, -3785,  6276,  5576
2665, -3746,  6104,  5582
2675, -3779,  5885,  5675
2685, -3849,  5707,  5820
2694, -3979,  5542,  5990
2705, -4152,  5405,  6247
2714, -4328,  5374,  6550
2725, -4480,  5478,  6783
2735, -4537,  5641,  6831
2744, -4474,  5783,  6651
2755, -4325,  5896,  6281
2764, -4098,  5969,  5775
2775, -3852,  5897,  5242
2785, -3645,  5649,  4845
2795, -3559,  5214,  4683
2805, -3657,  4627,  4889
2814, -3880,  4028,  5420
2825, -4140,  3684,  6036
2834, -4370,  3763,  6518
2845, -4516,  4132,  6810
2855, -4536,  4606,  6904
2864, -4475,  4937,  6845
2875, -4304,  5090,  6655
2884, -4106,  5158,  6384
2895, -3960,  5120,  6172
2904, -3946,  4951,  6172
2914, -4087,  4744,  6444
2925, -4315,  4598,  6834
2934, -4516,  4482,  7154
2945, -4620,  4352,  7351
2954, -4644,  4302,  7425
2965, -4596,  4375,  7401
2975, -4535,  4569,  7339
2984, -4447,  4835,  7262
2995, -4373,  5027,  7199
3004, -4343,  5069,  7221
3015, -4370,  4975,  7338
3024, -4408,  4806,  7488
3034, -4384,  4617,  7556
3045, -4326,  4379,  7517
3054, -4205,  4113,  7418
3065, -4037,  3878,  7277
3074, -3860,  3715,  7109
3084, -3685,  3703,  6944
3095, -3577,  3804,  6775
3104, -3571,  3875,  6716
3115, -3601,  3985,  6730
3124, -3675,  4108,  6728
3134, -3721,  4169,  6687
3145, -3710,  4179,  6589
3154, -3643,  4137,  6414
3165, -3531,  4058,  6186
3174, -3407,  4036,  5956
3185, -3319,  4059,  5743
3195, -3332,  4042,  5637
3204, -3447,  3998,  5703
3215, -3635,  3944,  5918
3224, -3818,  3928,  6151
3234, -3956,  3892,  6291
3245, -4002,  3844,  6303
3254, -3947,  3827,  6176
3265, -3827,  3851,  5968
3274, -3708,  3941,  5741
3283, -3648,  4013,  5585
3294, -3709,  4004,  5621
3304, -3890,  3983,  5864
3315, -4132,  3965,  6188
3324, -4348,  3937,  6475
3333, -4467,  3920,  6601
3344, -4442,  3876,  6505
3354, -4317,  3817,  6264
3365, -4160,  3760,  5966
3374, -3998,  3699,  5685
3383, -3930,  3606,  5552
3394, -4004,  3559,  5647
3404, -4159,  3565,  5878
3415, -4354,  3614,  6129
3424, -4502,  3739,  6310
3435, -4573,  3892,  6339
3444, -4538,  4048,  6248
3454, -4447,  4173,  6080
3465, -4327,  4309,  5868
3474, -4198,  4462,  5608
3483, -4127,  4553,  5406
3494, -4131,  4617,  5401
3504, -4236,  4664,  5554
3513, -4428,  4696,  5780
3524, -4575,  4723,  5982
3533, -4628,  4731,  6047
3544, -4564,  4701,  5961
3554, -4447,  4654,  5805
3564, -4363,  4555,  5675
3574, -4332,  4425,  5643
3585, -4394,  4352,  5732
3594, -4496,  4361,  5852
3605, -4605,  4441,  5948
3614, -4680,  4553,  6009
3624, -4717,  4631,  6032
3633, -4732,  4645,  6035
3644, -4708,  4615,  6027
3653, -4714,  4594,  6061
3664, -4736,  4625,  6138
3673, -4757,  4714,  6214
3684, -4763,  4862,  6218
3693, -4745,  4992,  6144
3704, -4716,  5101,  6052
3713, -4705,  5198,  5982
3724, -4712,  5295,  5966
3733, -4702,  5412,  5991
3744, -4710,  5506,  6020
3754, -4712,  5637,  6026
3763, -4708,  5782,  5997
3774, -4730,  5855,  5975
3783, -4773,  5877,  5985
3794, -4834,  5901,  6025
3804, -4905,  5923,  6050
3813, -4932,  5922,  6059
3824, -4954,  5876,  6041
3833, -4962,  5811,  6001
3844, -4944,  5751,  5926
3853, -4909,  5663,  5837
3863, -4851,  5590,  5748
3874, -4824,  5597,  5673
3883, -4812,  5690,  5600
3894, -4834,  5830,  5562
3903, -4870,  6010,  5598
3914, -4973,  6332,  5695
3924, -5083,  6729,  5814
3933, -5151,  7042,  5933
3944, -5185,  7248,  6029
3953, -5170,  7400,  6085
3964, -5150,  7460,  6114
3973, -5119,  7440,  6162
3983, -5081,  7349,  6206
3994, -5196,  7219,  6284
4003, -5215,  7087,  6345
4014, -5194,  6918,  6381
4023, -5159,  6730,  6410
4034, -5128,  6541,  6478
4043, -5090,  6368,  6556
4053, -5028,  6223,  6611
4064, -4951,  6117,  6644
4073, -4864,  6036,  6640
4084, -4751,  5950,  6597
4093, -4622,  5798,  6538
4104, -4503,  5639,  6480
4113, -4389,  5507,  6414
4123, -4279,  5401,  6318
4134, -4180,  5301,  6213
4143, -4090,  5211,  6124
4154, -4032,  5134,  6081
4163, -4020,  5079,  6102
4173, -4034,  5060,  6167
4184, -4070,  5061,  6232
4193, -4099,  5085,  6294
4204, -4112,  5132,  6315
4213, -4097,  5182,  6280
4223, -4059,  5215,  6203
4232, -4027,  5233,  6126
4243, -4011,  5253,  6088
4252, -4021,  5285,  6078
4264, -4050,  5326,  6106
4273, -4101,  5350,  6150
4282, -4154,  5361,  6188
4294, -4193,  5383,  6212
4303, -4221,  5413,  6195
4314, -4235,  5445,  6161
4323, -4241,  5473,  6145
4333, -4276,  5455,  6139
4344, -4303,  5409,  6139
4353, -4339,  5349,  6153
4362, -4388,  5314,  6197
4374, -4439,  5319,  6256
4383, -4454,  5338,  6284
4394, -4426,  5372,  6253
4403, -4387,  5398,  6188
4412, -4339,  5405,  6118
4423, -4313,  5406,  6078
4433, -4318,  5401,  6092
4444, -4344,  5437,  6157
4453, -4377,  5512,  6223
4462, -4399,  5551,  6258
4473, -4397,  5564,  6260
4483, -4394,  5555,  6247
4494, -4385,  5518,  6240
4503, -4380,  5450,  6229
4512, -4380,  5412,  6233
4523, -4381,  5393,  6244
4532, -4386,  5383,  6257
4544, -4403,  5386,  6280
4553, -4413,  5395,  6295
4562, -4398,  5413,  6284
4573, -4354,  5423,  6238
4582, -4308,  5435,  6172
4593, -4276,  5459,  6116
4603, -4252,  5493,  6072
4614, -4252,  5543,  6044
4623, -4263,  5583,  6035
4632, -4274,  5601,  6029
4643, -4277,  5600,  6016
4653, -4299,  5576,  6021
4664, -4326,  5542,  6033
4673, -4360,  5558,  6071
4682, -4411,  5627,  6148
4693, -4462,  5697,  6217
4702, -4468,  5747,  6251
4713, -4436,  5764,  6238
4723, -4395,  5750,  6204
4732, -4353,  5740,  6160
4743, -4351,  5756,  6135
4752, -4378,  5795,  6165
4763, -4429,  5836,  6232
4773, -4501,  5861,  6333
4782, -4559,  5873,  6430
4793, -4589,  5868,  6491
4802, -4579,  5867,  6503
4813, -4548,  5870,  6472
4823, -4498,  5884,  6413
4832, -4450,  5888,  6345
4843, -4413,  5856,  6262
4852, -4380,  5815,  6194
4863, -4350,  5781,  6125
4873, -4322,  5754,  6070
4882, -4308,  5732,  6064
4893, -4328,  5705,  6094
4902, -4359,  5688,  6137
4913, -4392,  5687,  6183
4922, -4416,  5712,  6204
4932, -4425,  5722,  6191
4943, -4408,  5728,  6174
4952, -4388,  5748,  6170
4963, -4359,  5752,  6169
4972, -4333,  5755,  6161
4983, -4318,  5776,  6152
4993, -4319,  5812,  6168
5002, -4337,  5872,  6194
5013, -4351,  5955,  6222
5022, -4375,  5976,  6248
5033, -4387,  5927,  6289
5042, -4394,  5866,  6332
5052, -4384,  5837,  6337
5063, -4342,  5851,  6289
5072, -4288,  5845,  6220
5083, -4250,  5783,  6165
5092, -4224,  5695,  6139
5103, -4198,  5598,  6139
5112, -4176,  5519,  6170
5122, -4138,  5464,  6197
5133, -4083,  5441,  6194
5142, -4018,  5421,  6174
5153, -3976,  5333,  6177
5162, -3945,  5226,  6215
5172, -3945,  5113,  6243
5183, -3948,  5025,  6264
5192, -3946,  5007,  6263
5203, -3930,  5032,  6230
5212, -3929,  5052,  6222
5222, -3959,  5064,  6267
5233, -3986,  5075,  6319
5242, -3946,  5106,  6331
5253, -4089,  5124,  6325
5262, -4194,  5146,  6326
5271, -4188,  5126,  6323
5282, -4171,  5096,  6312
5292, -4144,  5139,  6274
5303, -4111,  5235,  6232
5312, -4095,  5315,  6207
5323, -4092,  5378,  6197
5332, -4095,  5455,  6194
5341, -4092,  5538,  6229
5353, -4077,  5577,  6265
5362, -4051,  5533,  6262
5373, -4004,  5425,  6213
5382, -3964,  5332,  6143
5391, -3945,  5293,  6103
5402, -3967,  5324,  6114
5412, -3993,  5399,  6159
5423, -4018,  5471,  6195
5432, -4017,  5528,  6189
5441, -3984,  5550,  6121
