time,gyrx,gyry,gyrz
8,    -1,     0,     0
18,    -1,    -1,     0
27,     0,    -1,    -1
38,     0,    -1,    -1
47,     0,    -1,    -1
58,    -1,     0,    -1
68,    -1,    -1,    -1
77,    -1,     0,    -1
88,    -1,     0,     0
97,    -1,     0,     0
108,    -1,     0,    -1
117,    -1,     0,     0
127,    -1,     0,    -1
138,     0,     0,    -1
147,     0,     0,    -1
158,     0,     0,     0
167,     0,     0,    -1
177,     0,    -1,     0
188,     0,    -1,    -1
197,     0,    -1,     0
208,     0,     0,     0
217,     0,     0,    -1
227,    -1,     0,    -1
238,     0,     0,    -1
247,     0,     0,     0
258,     0,     0,    -1
267,     0,     0,    -1
278,     0,    -1,     0
287,     0,     0,    -1
297,     0,    -1,    -1
308,     0,    -1,    -1
317,    -1,     0,    -1
328,    -1,     0,     0
337,    -1,     0,    -1
347,    -1,     0,    -1
357,    -1,     0,     0
367,    -1,     0,    -1
378,    -1,     0,    -1
387,    -1,    -1,     0
398,    -1,    -1,    -1
407,    -1,     0,    -1
416,     0,     0,    -1
427,     0,    -1,    -1
437,     0,    -1,    -1
448,     0,    -1,    -1
457,     0,    -1,    -1
468,     0,    -1,     0
477,     0,    -1,    -1
486,     0,     0,    -1
497,     0,     0,    -1
507,     0,     0,     0
518,     0,     0,     0
527,     0,    -1,     0
536,     0,    -1,     0
548,     0,    -1,     0
557,     0,    -1,     0
566,     0,    -1,     0
577,     0,    -1,    -1
587,     0,     0,    -1
598,     0,    -1,    -1
607,     0,    -1,    -1
616,     0,    -1,     0
627,     0,     0,    -1
637,     0,    -1,    -1
648,     0,     0,    -1
657,     0,     0,     0
666,    -1,     0,     0
677,    -1,    -1,     0
686,    -1,    -1,    -1
697,    -1,     0,     0
707,    -1,     0,    -1
718,    -1,    -1,    -1
727,    -1,     0,     0
736,    -1,     0,    -1
747,    -1,     0,    -1
756,    -1,    -1,    -1
767,    -1,    -1,     0
777,    -1,     0,    -1
788,    -1,     0,    -1
797,    -1,     0,     0
806,    -1,     0,     0
817,    -1,     0,    -1
826,    -1,     0,    -1
837,    -1,     0,     0
847,    -1,     0,     0
856,    -1,     0,    -1
867,    -3,     0,    -1
876,    -5,    -1,    -1
887,    -8,    -3,    -1
896,   -11,    -5,    -1
907,   -15,    -5,    -1
917,   -19,    -5,     0
926,   -21,    -4,     2
937,   -23,    -4,     4
946,   -25,    -4,     8
957,   -26,    -4,    12
966,   -26,    -4,    17
977,   -24,     0,    20
987,   -20,     8,    17
996,   -12,    13,    12
1007,    -3,     9,     7
1016,     5,     2,     0
1027,     9,    -3,    -5
1036,     8,    -6,    -5
1046,     7,    -7,    -2
1057,     6,    -7,    -1
1066,     6,    -7,     0
1077,     7,    -6,     0
1086,     8,    -4,     0
1097,     8,    -2,    -1
1106,     7,     0,    -1
1116,     6,     1,     0
1127,     5,     2,    -1
1136,     4,     3,     0
1147,     2,     4,     2
1156,     1,     4,     3
1166,     1,     3,     2
1176,     0,     3,     2
1186,    -2,     2,     2
1197,    -3,     0,     4
1206,    -4,    -2,     5
1217,    -3,    -2,     4
1226,    -1,    -3,     1
1236,     1,    -4,    -2
1247,     0,    -5,    -3
1256,    -5,    -7,    -2
1267,   -13,    -9,     0
1276,   -20,    -8,     1
1287,   -26,    -6,     3
1296,   -28,    -5,     5
1306,   -27,    -3,     4
1317,   -26,    -1,     2
1326,   -21,     1,     1
1337,   -12,     3,    -1
1346,    -4,     4,    -4
1356,     3,     3,    -5
1367,     6,    -1,    -5
1376,     6,    -5,    -6
1387,     2,    -9,    -8
1396,    -4,   -12,   -11
1405,   -10,   -15,   -14
1416,   -14,   -17,   -17
1426,   -14,   -19,   -20
1437,   -12,   -21,   -22
1446,    -8,   -22,   -23
1455,    -2,   -23,   -22
1466,     3,   -21,   -21
1475,     8,   -17,   -21
1486,    11,   -14,   -21
1496,    10,   -10,   -22
1507,     9,    -8,   -23
1516,     7,    -7,   -24
1525,     4,    -8,   -25
1536,     1,   -10,   -26
1546,    -3,   -13,   -27
1557,    -7,   -15,   -28
1566,    -9,   -15,   -29
1577,    -9,   -13,   -28
1586,    -6,   -11,   -27
1595,    -1,    -7,   -27
1606,     3,    -4,   -27
1616,     5,     0,   -27
1625,     4,     3,   -28
1636,     3,     4,   -30
1645,     2,     3,   -31
1656,     1,     1,   -32
1666,     0,    -2,   -31
1675,    -4,    -5,   -31
1686,    -9,    -3,   -30
1695,   -14,    -2,   -31
1706,   -18,    -2,   -32
1716,   -18,     0,   -34
1725,   -15,     1,   -37
1736,   -10,     2,   -38
1745,    -4,     5,   -37
1756,     4,     7,   -33
1765,    12,     8,   -32
1776,    18,     8,   -31
1786,    18,     7,   -31
1795,    14,     4,   -33
1806,     8,     4,   -34
1815,     2,     4,   -36
1826,    -4,     5,   -36
1835,    -7,     3,   -35
1846,    -7,     0,   -35
1856,    -7,    -6,   -36
1865,    -9,   -10,   -36
1876,   -13,   -10,   -36
1885,   -16,    -6,   -38
1896,   -14,     2,   -40
1905,    -9,    10,   -40
1916,    -3,    15,   -38
1926,     2,    17,   -35
1935,     6,    15,   -31
1946,     7,    11,   -28
1955,     5,     4,   -26
1966,     1,    -2,   -27
1976,    -3,    -5,   -28
1985,    -7,    -4,   -30
1996,    -8,     1,   -30
2005,    -7,     7,   -29
2016,    -4,    12,   -26
2026,    -2,    13,   -24
2035,    -1,    10,   -20
2046,     0,     5,   -18
2055,    -1,    -2,   -16
2066,    -2,    -8,   -16
2075,    -5,   -11,   -17
2085,    -9,   -10,   -17
2096,   -11,    -6,   -15
2105,   -12,     0,   -12
2116,    -9,     4,    -9
2125,    -4,     9,    -9
2136,    -1,     8,    -9
2145,    -2,     3,   -10
2155,    -5,    -1,   -10
2166,    -9,    -4,   -10
2175,   -12,    -6,    -9
2186,   -14,    -4,    -9
2195,   -13,     2,    -9
2205,   -11,    10,    -8
2216,   -11,    15,    -6
2225,   -12,    16,    -3
2236,   -16,    15,    -1
2245,   -18,    13,     2
2255,   -19,    12,     4
